case_id,family,group_id,split,severity,detector,shadow_alert_on_success,first_shadow_alert_s,shadow_branch,actual_intervention_on_nominal_success,actual_interventions,controlled_success,controlled_safety_stop,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h000_easy_controls_easy_v0,easy_controls,h000_easy_controls_easy_v0,held_out,easy,v1,False,,,False,0,True,False,True,9.699999999991178,0.0,0.0,0.0,True,1165,0
h000_easy_controls_easy_v0,easy_controls,h000_easy_controls_easy_v0,held_out,easy,v2,False,,,False,0,True,False,True,9.699999999991178,0.0,0.0,0.0,True,1165,0
h001_easy_controls_easy_v1,easy_controls,h001_easy_controls_easy_v1,held_out,easy,v1,False,,,False,0,True,False,True,9.649999999991223,0.0,0.0,0.0,True,1159,0
h001_easy_controls_easy_v1,easy_controls,h001_easy_controls_easy_v1,held_out,easy,v2,False,,,False,0,True,False,True,9.649999999991223,0.0,0.0,0.0,True,1159,0
h002_easy_controls_easy_v2,easy_controls,h002_easy_controls_easy_v2,held_out,easy,v1,False,,,False,0,True,False,True,9.658333333456312,0.0,0.0,0.0,True,1160,0
h002_easy_controls_easy_v2,easy_controls,h002_easy_controls_easy_v2,held_out,easy,v2,False,,,False,0,True,False,True,9.658333333456312,0.0,0.0,0.0,True,1160,0
h003_easy_controls_easy_v3,easy_controls,h003_easy_controls_easy_v3,held_out,easy,v1,False,,,False,0,True,False,True,9.649999999859574,0.0,0.0,0.0,True,1159,0
h003_easy_controls_easy_v3,easy_controls,h003_easy_controls_easy_v3,held_out,easy,v2,False,,,False,0,True,False,True,9.649999999859574,0.0,0.0,0.0,True,1159,0
h004_easy_controls_easy_v0,easy_controls,h004_easy_controls_easy_v0,held_out,easy,v1,False,,,False,0,True,False,True,9.68333333345663,0.0,0.0,0.0,True,1163,0
h004_easy_controls_easy_v0,easy_controls,h004_easy_controls_easy_v0,held_out,easy,v2,False,,,False,0,True,False,True,9.68333333345663,0.0,0.0,0.0,True,1163,0
h005_easy_controls_easy_v1,easy_controls,h005_easy_controls_easy_v1,held_out,easy,v1,False,,,False,0,True,False,True,9.650000000122873,0.0,0.0,0.0,True,1159,0
h005_easy_controls_easy_v1,easy_controls,h005_easy_controls_easy_v1,held_out,easy,v2,False,,,False,0,True,False,True,9.650000000122873,0.0,0.0,0.0,True,1159,0
h006_easy_controls_easy_v2,easy_controls,h006_easy_controls_easy_v2,held_out,easy,v1,False,,,False,0,True,False,True,9.69166666679007,0.0,0.0,0.0,True,1164,0
h006_easy_controls_easy_v2,easy_controls,h006_easy_controls_easy_v2,held_out,easy,v2,False,,,False,0,True,False,True,9.69166666679007,0.0,0.0,0.0,True,1164,0
h007_easy_controls_easy_v3,easy_controls,h007_easy_controls_easy_v3,held_out,easy,v1,False,,,False,0,True,False,True,9.616666666526726,0.0,0.0,0.0,True,1155,0
h007_easy_controls_easy_v3,easy_controls,h007_easy_controls_easy_v3,held_out,easy,v2,False,,,False,0,True,False,True,9.616666666526726,0.0,0.0,0.0,True,1155,0
h008_axis_offset_moderate_v0,axis_offset,h008_axis_offset_moderate_v0,held_out,moderate,v1,False,,,False,0,True,False,True,9.749999999991132,0.0,0.0,0.0,True,1171,0
h008_axis_offset_moderate_v0,axis_offset,h008_axis_offset_moderate_v0,held_out,moderate,v2,False,,,False,0,True,False,False,9.749999999991132,0.011926051678375531,0.002985887035829948,0.007092503303388828,False,1171,148
h009_axis_offset_moderate_v1,axis_offset,h009_axis_offset_moderate_v1,held_out,moderate,v1,False,,,False,0,True,False,False,9.758333333191331,0.003161337135132697,0.006185172830087067,0.0016023655547734506,False,1172,97
h009_axis_offset_moderate_v1,axis_offset,h009_axis_offset_moderate_v1,held_out,moderate,v2,False,,,False,0,True,False,False,9.758333333191331,0.003161337135132697,0.006185172830087067,0.0016023655547734506,False,1172,97
h010_axis_offset_moderate_v2,axis_offset,h010_axis_offset_moderate_v2,held_out,moderate,v1,False,,,False,0,True,False,False,9.666666666525998,0.049169393255845746,0.00621751289239383,0.0044219755170550636,False,1161,50
h010_axis_offset_moderate_v2,axis_offset,h010_axis_offset_moderate_v2,held_out,moderate,v2,False,,,False,0,True,False,True,9.666666666525998,0.0,0.0,0.0,True,1161,0
h011_axis_offset_moderate_v3,axis_offset,h011_axis_offset_moderate_v3,held_out,moderate,v1,False,,,False,0,True,False,False,9.766666666791025,0.02313374490223571,0.02678442812124796,0.006619264341494769,False,1173,200
h011_axis_offset_moderate_v3,axis_offset,h011_axis_offset_moderate_v3,held_out,moderate,v2,False,,,False,0,True,False,False,9.766666666791025,0.02313374490223571,0.02678442812124796,0.006619264341494769,False,1173,200
h012_axis_offset_severe_v0,axis_offset,h012_axis_offset_severe_v0,held_out,severe,v1,False,,,False,0,True,False,True,10.216666666796755,0.0,0.0,0.0,True,1227,0
h012_axis_offset_severe_v0,axis_offset,h012_axis_offset_severe_v0,held_out,severe,v2,False,,,False,0,True,False,False,10.216666666796755,0.012031469904717965,0.009259990240508125,0.004758726229317601,False,1227,210
