case_id,family,split,severity,nominal_success,nominal_outcome,v1_minus_nominal_success,v2_minus_nominal_success,v1_success,v2_success,v1_outcome,v2_outcome,success_delta,neither_intervenes,v2_new_branch_used,v2_trigger_branches,v1_first_trigger_s,v2_first_trigger_s,first_trigger_time_equal,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h000_easy_controls_easy_v0,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.699999999991178,0.0,0.0,0.0,True,1165,0
h001_easy_controls_easy_v1,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.649999999991223,0.0,0.0,0.0,True,1159,0
h002_easy_controls_easy_v2,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.658333333456312,0.0,0.0,0.0,True,1160,0
h003_easy_controls_easy_v3,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.649999999859574,0.0,0.0,0.0,True,1159,0
h004_easy_controls_easy_v0,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.68333333345663,0.0,0.0,0.0,True,1163,0
h005_easy_controls_easy_v1,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.650000000122873,0.0,0.0,0.0,True,1159,0
h006_easy_controls_easy_v2,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.69166666679007,0.0,0.0,0.0,True,1164,0
h007_easy_controls_easy_v3,easy_controls,held_out,easy,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.616666666526726,0.0,0.0,0.0,True,1155,0
h008_axis_offset_moderate_v0,axis_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.749999999991132,0.011926051678375531,0.002985887035829948,0.007092503303388828,False,1171,148
h009_axis_offset_moderate_v1,axis_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.774999999857755,0.0,0.0,0.0,True,1174,0
h010_axis_offset_moderate_v2,axis_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.666666666525998,0.049169393255845746,0.00621751289239383,0.0044219755170550636,False,1161,50
h011_axis_offset_moderate_v3,axis_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.766666666791025,0.0,0.0,0.0,True,1173,0
h012_axis_offset_severe_v0,axis_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.216666666796755,0.012031469904717965,0.009259990240508125,0.004758726229317601,False,1227,210
h013_axis_offset_severe_v1,axis_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.13333333346236,0.005272483702535991,0.002922180715272323,0.0018758181237204046,False,1217,131
h014_axis_offset_severe_v2,axis_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.075000000128284,0.01899916807294747,0.000542457433708123,0.005371827979024607,False,1210,311
h015_axis_offset_severe_v3,axis_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,10.800000000137516,0.0,0.0,0.0,True,1297,0
h016_oblique_offset_moderate_v0,oblique_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.716666666790388,0.006198059936615002,0.003354256632274902,0.0029296535980092957,False,1167,108
