case_id,repeat,policy_a,policy_b,prefix_time_s,prefix_matched,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,success_delta,final_depth_delta_mm
x_positive_combined,0,nominal,axial,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,0,-0.08848309516906738
x_positive_combined,0,nominal,dewedge,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,1,2.6265010237693787
x_positive_combined,0,axial,dewedge,9.39999999999145,True,0.0,0.0,0.0,1,2.714984118938446
x_positive_combined,1,nominal,axial,9.39999999999145,True,0.0,0.0,0.0,0,-0.08516013622283936
x_positive_combined,1,nominal,dewedge,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,1,2.5352388620376587
x_positive_combined,1,axial,dewedge,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,1,2.620398998260498
y_negative_tilt,0,nominal,axial,9.299999999999471,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,0.007402151823043823
y_negative_tilt,0,nominal,dewedge,9.299999999999471,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,1,2.6751086115837097
y_negative_tilt,0,axial,dewedge,9.299999999999475,True,0.0,0.0,0.0,1,2.667706459760666
y_negative_tilt,1,nominal,axial,9.299999999991542,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,0.1382194459438324
y_negative_tilt,1,nominal,dewedge,9.299999999991542,True,0.0,0.0,0.0,1,2.70911306142807
y_negative_tilt,1,axial,dewedge,9.299999999991542,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,1,2.5708936154842377
y_positive_combined,0,nominal,axial,8.800000000007003,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,-0.031154602766036987
y_positive_combined,0,nominal,dewedge,8.800000000007003,True,0.0,0.0,0.0,1,3.4424997866153717
y_positive_combined,0,axial,dewedge,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,1,3.4736543893814087
y_positive_combined,1,nominal,axial,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,-0.01872330904006958
y_positive_combined,1,nominal,dewedge,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,1,3.4583210945129395
y_positive_combined,1,axial,dewedge,8.799999999991996,True,0.0,0.0,0.0,1,3.477044403553009
x_positive_drift_control,0,nominal,axial,9.858333333341179,True,0.0,0.0,0.0,0,0.0
x_positive_drift_control,0,nominal,dewedge,9.850000000007839,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,0.026695430278778076
x_positive_drift_control,0,axial,dewedge,9.850000000007839,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,0.026695430278778076
x_positive_drift_control,1,nominal,axial,9.849999999991041,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,-0.026695430278778076
x_positive_drift_control,1,nominal,dewedge,9.849999999991041,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,-0.026695430278778076
x_positive_drift_control,1,axial,dewedge,9.858333333324367,True,0.0,0.0,0.0,0,0.0
