case_id,family,severity,policy_a,policy_b,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,interventions_a,interventions_b,both_no_intervention,success_a,success_b,success_delta
g000_axis_offset_moderate_v0,axis_offset,moderate,nominal,force,True,9.691666666657852,0.0,0.0,0.0,0,0,True,True,True,0
g000_axis_offset_moderate_v0,axis_offset,moderate,nominal,axial,False,9.683333333324526,0.014609521251511588,0.010712502862104827,0.00630945896439507,0,0,True,True,True,0
g000_axis_offset_moderate_v0,axis_offset,moderate,nominal,dewedge,False,9.683333333324526,0.014609521251511588,0.010712502862104827,0.00630945896439507,0,0,True,True,True,0
g000_axis_offset_moderate_v0,axis_offset,moderate,force,axial,False,9.683333333324526,0.014609521251511588,0.010712502862104827,0.00630945896439507,0,0,True,True,True,0
g000_axis_offset_moderate_v0,axis_offset,moderate,force,dewedge,False,9.683333333324526,0.014609521251511588,0.010712502862104827,0.00630945896439507,0,0,True,True,True,0
g000_axis_offset_moderate_v0,axis_offset,moderate,axial,dewedge,True,9.683333333324526,0.0,0.0,0.0,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,nominal,force,False,9.708333333456949,0.014930348185050102,0.008802838553894136,0.0035361649330286626,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,nominal,axial,True,9.708333333456949,0.0,0.0,0.0,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,nominal,dewedge,False,9.708333333456949,0.014930348185050102,0.008802838553894136,0.0035361649330286626,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,force,axial,False,9.708333333456949,0.014930348185050102,0.008802838553894136,0.0035361649330286626,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,force,dewedge,True,9.708333333456949,0.0,0.0,0.0,0,0,True,True,True,0
g001_axis_offset_moderate_v1,axis_offset,moderate,axial,dewedge,False,9.708333333456949,0.014930348185050102,0.008802838553894136,0.0035361649330286626,0,0,True,True,True,0
g002_axis_offset_moderate_v2,axis_offset,moderate,nominal,force,True,9.683333333192422,0.0,0.0,0.0,0,0,True,True,True,0
g002_axis_offset_moderate_v2,axis_offset,moderate,nominal,axial,True,9.683333333192422,0.0,0.0,0.0,0,0,True,True,True,0
g002_axis_offset_moderate_v2,axis_offset,moderate,nominal,dewedge,False,9.649999999859574,0.01536518168584074,0.008404027724266554,0.003893981438940326,0,0,True,True,True,0
