case_id,family,severity,sign_variant,ramp_onset_mm,offset_magnitude_mm,tilt_magnitude_deg,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg,nominal_insertion_success,nominal_outcome,nominal_failure_class,nominal_final_depth_mm,nominal_verified_unloadings,nominal_retry_successes,nominal_safety_stop,axial_insertion_success,axial_outcome,axial_failure_class,axial_final_depth_mm,axial_verified_unloadings,axial_retry_successes,axial_safety_stop,dewedge_insertion_success,dewedge_outcome,dewedge_failure_class,dewedge_final_depth_mm,dewedge_verified_unloadings,dewedge_retry_successes,dewedge_safety_stop,force_insertion_success,force_outcome,force_failure_class,force_final_depth_mm,force_verified_unloadings,force_retry_successes,force_safety_stop
g000_axis_offset_moderate_v0,axis_offset,moderate,0,7.0,0.7,0.0,0.7,0.0,0.0,0.0,True,insertion_success,success,19.732405990362167,0,0,False,True,insertion_success,success,19.722239673137665,0,0,False,True,insertion_success,success,19.722239673137665,0,0,False,True,insertion_success,success,19.732405990362167,0,0,False
g001_axis_offset_moderate_v1,axis_offset,moderate,1,12.0,0.7,0.0,-0.7,0.0,0.0,0.0,True,insertion_success,success,19.72162127494812,0,0,False,True,insertion_success,success,19.72162127494812,0,0,False,True,insertion_success,success,19.707200676202774,0,0,False,True,insertion_success,success,19.707200676202774,0,0,False
g002_axis_offset_moderate_v2,axis_offset,moderate,2,15.0,0.7,0.0,0.0,0.7,0.0,0.0,True,insertion_success,success,19.7316013276577,0,0,False,True,insertion_success,success,19.7316013276577,0,0,False,True,insertion_success,success,19.69957873225212,0,0,False,True,insertion_success,success,19.7316013276577,0,0,False
g003_axis_offset_moderate_v3,axis_offset,moderate,3,7.0,0.7,0.0,0.0,-0.7,0.0,0.0,True,insertion_success,success,19.730282574892044,0,0,False,True,insertion_success,success,19.730282574892044,0,0,False,True,insertion_success,success,19.74490061402321,0,0,False,True,insertion_success,success,19.730282574892044,0,0,False
g004_axis_offset_severe_v0,axis_offset,severe,0,12.0,1.2,0.0,1.2,0.0,0.0,0.0,True,insertion_success,success,19.60553377866745,0,0,False,True,insertion_success,success,19.60553377866745,0,0,False,True,insertion_success,success,19.60553377866745,0,0,False,True,insertion_success,success,19.661208242177963,0,0,False
g005_axis_offset_severe_v1,axis_offset,severe,1,15.0,1.2,0.0,-1.2,0.0,0.0,0.0,True,insertion_success,success,19.56777051091194,0,0,False,True,insertion_success,success,19.562789797782898,0,0,False,True,insertion_success,success,19.562789797782898,0,0,False,True,insertion_success,success,19.562789797782898,0,0,False
g006_axis_offset_severe_v2,axis_offset,severe,2,7.0,1.2,0.0,0.0,1.2,0.0,0.0,True,insertion_success,success,19.57757920026779,0,0,False,True,insertion_success,success,19.57293376326561,0,0,False,True,insertion_success,success,19.57293376326561,0,0,False,True,insertion_success,success,19.57757920026779,0,0,False
g007_axis_offset_severe_v3,axis_offset,severe,3,12.0,1.2,0.0,0.0,-1.2,0.0,0.0,True,insertion_success,success,19.640205055475235,0,0,False,True,insertion_success,success,19.640205055475235,0,0,False,True,insertion_success,success,19.618292897939682,0,0,False,True,insertion_success,success,19.640205055475235,0,0,False
g008_oblique_offset_moderate_v0,oblique_offset,moderate,0,12.0,0.7,0.0,0.5599999999999999,0.42,0.0,0.0,True,insertion_success,success,19.760695844888687,0,0,False,True,insertion_success,success,19.766131043434143,0,0,False,True,insertion_success,success,19.766131043434143,0,0,False,True,insertion_success,success,19.760695844888687,0,0,False
g009_oblique_offset_moderate_v1,oblique_offset,moderate,1,15.0,0.7,0.0,-0.5599999999999999,-0.42,0.0,0.0,True,insertion_success,success,19.70675364136696,0,0,False,True,insertion_success,success,19.71404403448105,0,0,False,True,insertion_success,success,19.71404403448105,0,0,False,True,insertion_success,success,19.70675364136696,0,0,False
g010_oblique_offset_moderate_v2,oblique_offset,moderate,2,7.0,0.7,0.0,0.5599999999999999,-0.42,0.0,0.0,True,insertion_success,success,19.747519493103027,0,0,False,True,insertion_success,success,19.747519493103027,0,0,False,True,insertion_success,success,19.747519493103027,0,0,False,True,insertion_success,success,19.744766503572464,0,0,False
g011_oblique_offset_moderate_v3,oblique_offset,moderate,3,12.0,0.7,0.0,-0.5599999999999999,0.42,0.0,0.0,True,insertion_success,success,19.742367416620255,0,0,False,True,insertion_success,success,19.72227320075035,0,0,False,True,insertion_success,success,19.742367416620255,0,0,False,True,insertion_success,success,19.742367416620255,0,0,False
g012_oblique_offset_severe_v0,oblique_offset,severe,0,15.0,1.2,0.0,0.96,0.72,0.0,0.0,True,insertion_success,success,19.638793170452118,0,0,False,True,insertion_success,success,19.638793170452118,0,0,False,True,insertion_success,success,19.644176214933395,0,0,False,True,insertion_success,success,19.644176214933395,0,0,False
g013_oblique_offset_severe_v1,oblique_offset,severe,1,7.0,1.2,0.0,-0.96,-0.72,0.0,0.0,True,insertion_success,success,19.552843272686005,0,0,False,True,insertion_success,success,19.550902396440506,0,0,False,True,insertion_success,success,19.552843272686005,0,0,False,True,insertion_success,success,19.552843272686005,0,0,False
g014_oblique_offset_severe_v2,oblique_offset,severe,2,12.0,1.2,0.0,0.96,-0.72,0.0,0.0,True,insertion_success,success,19.629260152578354,0,0,False,True,insertion_success,success,19.621101766824722,0,0,False,True,insertion_success,success,19.621101766824722,0,0,False,True,insertion_success,success,19.629260152578354,0,0,False
g015_oblique_offset_severe_v3,oblique_offset,severe,3,15.0,1.2,0.0,-0.96,0.72,0.0,0.0,True,insertion_success,success,19.576070457696915,0,0,False,True,insertion_success,success,19.576070457696915,0,0,False,True,insertion_success,success,19.576070457696915,0,0,False,True,insertion_success,success,19.576070457696915,0,0,False
g016_axis_tilt_moderate_v0,axis_tilt,moderate,0,15.0,0.0,3.5,0.0,0.0,3.5,0.0,True,insertion_success,success,19.653504341840744,0,0,False,True,insertion_success,success,19.6073479950428,0,0,False,True,insertion_success,success,19.653504341840744,0,0,False,True,insertion_success,success,19.653504341840744,0,0,False
g017_axis_tilt_moderate_v1,axis_tilt,moderate,1,7.0,0.0,3.5,0.0,0.0,-3.5,0.0,True,insertion_success,success,19.50915679335594,0,0,False,True,insertion_success,success,19.50915679335594,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.453810155391693,0,0,False,True,insertion_success,success,19.50915679335594,0,0,False
g018_axis_tilt_moderate_v2,axis_tilt,moderate,2,12.0,0.0,3.5,0.0,0.0,0.0,3.5,True,insertion_success,success,19.54599991440773,0,0,False,True,insertion_success,success,19.54599991440773,0,0,False,True,insertion_success,success,19.54599991440773,0,0,False,True,insertion_success,success,19.53115090727806,0,0,False
g019_axis_tilt_moderate_v3,axis_tilt,moderate,3,15.0,0.0,3.5,0.0,0.0,0.0,-3.5,True,insertion_success,success,19.620826095342636,0,0,False,True,insertion_success,success,19.620826095342636,0,0,False,True,insertion_success,success,19.620826095342636,0,0,False,True,insertion_success,success,19.609437882900238,0,0,False
g020_axis_tilt_severe_v0,axis_tilt,severe,0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,False,time_budget_exhausted,nominal_stall,15.590479224920275,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,15.518953651189806,0,0,False,True,insertion_success,success,19.817335158586502,1,1,False,False,time_budget_exhausted,stalled_after_retry,15.457974374294283,0,0,False
g021_axis_tilt_severe_v1,axis_tilt,severe,1,12.0,0.0,7.0,0.0,0.0,-7.0,0.0,False,time_budget_exhausted,nominal_stall,17.13031306862831,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,16.98174476623535,0,0,False,True,insertion_success,success,19.683269411325455,1,1,False,False,time_budget_exhausted,stalled_after_retry,16.99424311518669,0,0,False
g022_axis_tilt_severe_v2,axis_tilt,severe,2,15.0,0.0,7.0,0.0,0.0,0.0,7.0,False,grasp_retention_limit,grasp_retention_limit_during_insertion,18.137110024690628,0,0,True,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,18.128113448619843,0,0,False,True,insertion_success,success,19.78119984269142,1,1,False,False,grasp_retention_limit,grasp_retention_limit_during_insertion,18.098024278879166,0,0,True
g023_axis_tilt_severe_v3,axis_tilt,severe,3,7.0,0.0,7.0,0.0,0.0,0.0,-7.0,False,time_budget_exhausted,nominal_stall,15.80491065979004,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,15.975104272365572,0,0,False,True,insertion_success,success,19.78086456656456,1,1,False,False,grasp_retention_limit,grasp_retention_limit_during_recovery,15.996647626161577,0,0,True
g024_oblique_tilt_moderate_v0,oblique_tilt,moderate,0,7.0,0.0,3.5000000000000004,0.0,0.0,2.1,2.8000000000000003,False,time_budget_exhausted,nominal_no_success_within_budget,19.48709562420845,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.462911039590836,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.462911039590836,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.48709562420845,0,0,False
g025_oblique_tilt_moderate_v1,oblique_tilt,moderate,1,12.0,0.0,3.5000000000000004,0.0,0.0,-2.1,-2.8000000000000003,True,insertion_success,success,19.538631290197372,0,0,False,True,insertion_success,success,19.52945962548256,0,0,False,True,insertion_success,success,19.538631290197372,0,0,False,True,insertion_success,success,19.538631290197372,0,0,False
g026_oblique_tilt_moderate_v2,oblique_tilt,moderate,2,15.0,0.0,3.5000000000000004,0.0,0.0,2.1,-2.8000000000000003,True,insertion_success,success,19.565818458795547,0,0,False,True,insertion_success,success,19.568679481744766,0,0,False,True,insertion_success,success,19.568679481744766,0,0,False,True,insertion_success,success,19.568679481744766,0,0,False
g027_oblique_tilt_moderate_v3,oblique_tilt,moderate,3,7.0,0.0,3.5000000000000004,0.0,0.0,-2.1,2.8000000000000003,False,time_budget_exhausted,nominal_no_success_within_budget,19.48641762137413,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.48641762137413,0,0,False,True,insertion_success,success,19.50065940618515,0,0,False,True,insertion_success,success,19.50065940618515,0,0,False
