evaluation,horizon_s,model,hidden_load,definition,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
stage4,0.25,force_only,True,instant_10N_sensitivity,8,5,5,1.1190690296783696,1.1422961802557483,-3121.0793368988316,,1.0,-0.0068292303588399555,0.7000000000000001
stage4,0.25,force_only,True,mean_5N_sensitivity,7,7,7,1.1036480194679907,1.1265185473090809,-2631.2092483782094,,1.0,-0.008055406983436403,0.5714285714285714
stage4,0.25,torque_only,True,instant_10N_sensitivity,8,5,5,1.0670460373714121,1.0769144394657757,-2773.9098981415495,,1.0,-0.0068292303588399555,0.8
stage4,0.25,torque_only,True,mean_5N_sensitivity,7,7,7,1.0336503516852278,1.043492984792712,-2257.5139908803017,,1.0,-0.008055406983436403,0.5714285714285714
stage4,0.25,current_progress,True,instant_10N_sensitivity,8,5,5,0.34865024840251607,0.3855608855080767,-354.69062939634887,,1.0,-0.0068292303588399555,0.0
stage4,0.25,current_progress,True,mean_5N_sensitivity,7,7,7,0.31040307968601144,0.33221924379594125,-227.92503458690715,,1.0,-0.008055406983436403,0.0
stage4,0.25,wrench_history,True,instant_10N_sensitivity,8,5,5,1.2463312694709296,1.4526069710958343,-5047.736837106332,,1.0,-0.0068292303588399555,0.6000000000000001
stage4,0.25,wrench_history,True,mean_5N_sensitivity,7,7,7,1.468965317179844,1.6735498952754742,-5808.263122616211,,1.0,-0.008055406983436403,0.7142857142857142
stage4,0.25,progress_wrench_motion,True,instant_10N_sensitivity,8,5,5,1.1270547651665463,1.213105304062167,-3520.14159042842,,1.0,-0.0068292303588399555,0.9
stage4,0.25,progress_wrench_motion,True,mean_5N_sensitivity,7,7,7,1.2666090267041976,1.343771655436685,-3744.3695047029246,,1.0,-0.008055406983436403,0.8571428571428571
stage4,0.5,force_only,True,instant_10N_sensitivity,8,5,5,1.2368848252992852,1.247892294018849,-2497.1909088754282,,1.0,-0.013102149311915055,0.8
stage4,0.5,force_only,True,mean_5N_sensitivity,7,7,7,1.1881514095543069,1.199692221195738,-2310.505007605966,,1.0,-0.011368012706643836,0.7142857142857142
stage4,0.5,torque_only,True,instant_10N_sensitivity,8,5,5,1.0511032915284213,1.0633036338063697,-1812.7858687988132,,1.0,-0.013102149311915055,0.6000000000000001
