evaluation,horizon_s,model,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
development_oof,0.25,force_only,4549,104,118,0.10676341518062496,0.21688313314587923,0.05027246357498916,0.4550785652416786,0.013298616067786935,1.0531514487256217,0.9527205140101243
stage4,0.25,force_only,332,13,13,0.23135311763449362,0.3967623831654549,-0.21284131689862096,0.6956901608729774,0.1450647457336421,0.8493941848565743,0.8035274276076955
quarantined_shared_path,0.25,force_only,1110,13,39,0.14281477145067095,0.28196393315121865,-0.10449620895199563,0.5455657762270668,0.06394221039303663,0.957410623948951,0.9075417987495207
development_oof,0.25,torque_only,4549,104,118,0.1084110488693193,0.22258466545378933,-0.00031770434182099017,0.34874635279454325,0.013298616067786935,1.0531514487256217,0.9950750469043255
stage4,0.25,torque_only,332,13,13,0.25612989010069886,0.4187945265026028,-0.35127890453411426,0.5840431341075123,0.1450647457336421,0.8493941848565743,0.9770216962524659
quarantined_shared_path,0.25,torque_only,1110,13,39,0.15381757587612704,0.29016435746143837,-0.16967508352573324,0.4686727989888472,0.06394221039303663,0.957410623948951,0.9882569690531704
development_oof,0.25,current_progress,4549,104,118,0.07763694073590974,0.15488225469957423,0.5156594868531041,0.7568560023162477,0.013298616067786935,1.0531514487256217,0.6267833517721688
stage4,0.25,current_progress,332,13,13,0.1770239927811429,0.2975301217095977,0.3179677941196508,0.8262656514613036,0.1450647457336421,0.8493941848565743,0.45555341165709057
quarantined_shared_path,0.25,current_progress,1110,13,39,0.11099440406578667,0.20121353108544596,0.43754021736484294,0.8209751886298262,0.06394221039303663,0.957410623948951,0.4885032583441783
development_oof,0.25,wrench_history,4549,104,118,0.10792439650024105,0.219821989991407,0.02435967261610905,0.4977366048157719,0.013298616067786935,1.0531514487256217,0.858544009758144
stage4,0.25,wrench_history,332,13,13,0.26037967431375186,0.49452092605740344,-0.8841364465452302,0.5887711660260521,0.1450647457336421,0.8493941848565743,0.7328137952719894
quarantined_shared_path,0.25,wrench_history,1110,13,39,0.13693606393482757,0.2669688606976743,0.009856078097489562,0.6659202550906657,0.06394221039303663,0.957410623948951,0.8126809273644
development_oof,0.25,progress_wrench_motion,4549,104,118,0.07850612593156074,0.1630643959552492,0.46313416766187765,0.6675968695489343,0.013298616067786935,1.0531514487256217,0.665995741648995
stage4,0.25,progress_wrench_motion,332,13,13,0.20847270502301304,0.3889035028786018,-0.16527039449731706,0.7078754273629598,0.1450647457336421,0.8493941848565743,0.5845676828745392
quarantined_shared_path,0.25,progress_wrench_motion,1110,13,39,0.11294428015088961,0.21998867369880537,0.32767733475152494,0.8003773850423874,0.06394221039303663,0.957410623948951,0.6887301279109848
development_oof,0.25,contact_wrench_history,4549,104,118,0.10182755469843965,0.23662154100083124,-0.13046216011475287,0.5644472523013097,0.013298616067786935,1.0531514487256217,0.8769203047251075
stage4,0.25,contact_wrench_history,332,13,13,0.21767274500721676,0.4652750143017702,-0.6678710296156192,0.9283582136909563,0.1450647457336421,0.8493941848565743,0.6793401437841238
quarantined_shared_path,0.25,contact_wrench_history,1110,13,39,0.11609854724634129,0.2304763099760367,0.2620453158079722,0.927449101224854,0.06394221039303663,0.957410623948951,0.7689994612468816
development_oof,0.25,progress_contact_motion,4549,104,118,0.07899418767341011,0.18343272384343642,0.3206382312578576,0.6265651281986144,0.013298616067786935,1.0531514487256217,0.6923430298658159
stage4,0.25,progress_contact_motion,332,13,13,0.21331503073350455,0.48836655171343296,-0.837531639529784,0.9291145290644799,0.1450647457336421,0.8493941848565743,0.5281922648143385
quarantined_shared_path,0.25,progress_contact_motion,1110,13,39,0.10790504359474726,0.22694142346258808,0.2845082033384626,0.9205863711385911,0.06394221039303663,0.957410623948951,0.6152759721907782
development_oof,0.25,persistence,4549,104,118,0.11210977627988561,0.27838146660892055,-0.5646892906483811,0.8547489403899531,0.013298616067786935,1.0531514487256217,0.7038355111550736
stage4,0.25,persistence,332,13,13,0.14368262501811613,0.2595517644995031,0.4809717766570427,0.9593034400805318,0.1450647457336421,0.8493941848565743,0.3626618643341051
quarantined_shared_path,0.25,persistence,1110,13,39,0.09980755677852379,0.19624872986614614,0.4649543729480018,0.9324697939805896,0.06394221039303663,0.957410623948951,0.5498865974326909
development_oof,0.5,force_only,4314,104,118,0.0737037704348896,0.1531307068029109,0.025440491030068735,0.13042776310982343,0.009305438151592002,1.039971702138848,0.9669590025359287
stage4,0.5,force_only,320,13,13,0.2641239576754732,0.44935582380720607,-0.5966132129974626,0.430315521046947,0.1725866849612669,0.8147290934747227,0.9557222691838081
quarantined_shared_path,0.5,force_only,1047,13,39,0.14095215035591455,0.29108320283586575,-0.3175878316759486,0.33475339967163587,0.06850498624914528,0.9443429744375057,0.9852019477358493
development_oof,0.5,torque_only,4314,104,118,0.0756545480424998,0.15471792899446338,0.0051328840653577235,0.41448974441133846,0.009305438151592002,1.039971702138848,0.9832347140039479
