evaluation,horizon_s,model,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
development_oof,0.25,force_only,4519,104,118,0.10124948529049704,0.2026552715916047,0.059236640096731685,0.3950027592199848,0.007284185120876532,1.0587868951335886,0.95410267668478
development_oof,0.25,torque_only,4519,104,118,0.10282377853611221,0.20829842352826852,0.006114053029413147,0.307170689822339,0.007284185120876532,1.0587868951335886,0.9950750469043248
development_oof,0.25,current_progress,4519,104,118,0.07537117243695234,0.1489686297001672,0.49166006438871435,0.6440745696836491,0.007284185120876532,1.0587868951335886,0.6281737512470195
development_oof,0.25,wrench_history,4519,104,118,0.1008632100506714,0.19115007750593208,0.1630229674606679,0.4820125875060821,0.007284185120876532,1.0587868951335886,0.860318444417359
development_oof,0.25,progress_wrench_motion,4519,104,118,0.07365447453667977,0.14405456452457208,0.5246443812867463,0.6705834293301884,0.007284185120876532,1.0587868951335886,0.6669985432708693
development_oof,0.25,persistence,4519,104,118,0.10944991456634433,0.27474923973655563,-0.7291695632619639,0.7761330957924117,0.007284185120876532,1.0587868951335886,0.7063398352486447
development_oof,0.5,force_only,4295,104,118,0.06987346444457651,0.13829900806984746,0.059000609210342336,0.15056625719593686,0.005372621642864559,1.0436117215732623,0.9669590025359287
development_oof,0.5,torque_only,4295,104,118,0.07208947673708213,0.14193883202625313,0.008817407275816369,0.3856849547841745,0.005372621642864559,1.0436117215732623,0.9832347140039479
development_oof,0.5,current_progress,4295,104,118,0.05072512875165701,0.09926397443210588,0.5152313438728735,0.6302916153130013,0.005372621642864559,1.0436117215732623,0.6755009132792555
development_oof,0.5,wrench_history,4295,104,118,0.07326343682165934,0.14175849282985706,0.011334484746919227,0.22649755077409808,0.005372621642864559,1.0436117215732623,0.8638929980276162
development_oof,0.5,progress_wrench_motion,4295,104,118,0.057326707208937705,0.11840556563895031,0.31024406587074893,0.18357534161377762,0.005372621642864559,1.0436117215732623,0.7141612351885656
development_oof,0.5,persistence,4295,104,118,0.087098212892668,0.2236405378087434,-1.4606637298281342,0.7618741076831149,0.005372621642864559,1.0436117215732623,0.6968645108827318
development_oof,1.0,force_only,3724,104,118,0.04155697624144393,0.08187994670213808,-0.016264263802680645,0.042386107027459076,0.0035859728506787325,1.0243753980258026,0.9863192873303136
development_oof,1.0,torque_only,3724,104,118,0.04262889894174768,0.08178332352482562,-0.013867175178528646,0.18005344364225415,0.0035859728506787325,1.0243753980258026,0.9997171945701326
development_oof,1.0,current_progress,3724,104,118,0.027926241521585057,0.05785767938147819,0.49257299944966937,0.8533541152807885,0.0035859728506787325,1.0243753980258026,0.892186085972848
development_oof,1.0,wrench_history,3724,104,118,0.043754275778356944,0.08365916925277003,-0.060910253791526925,0.09618859314689242,0.0035859728506787325,1.0243753980258026,0.8960244626696805
development_oof,1.0,progress_wrench_motion,3724,104,118,0.03565553511649432,0.08086795536762437,0.008701436010847607,0.06457828651790316,0.0035859728506787325,1.0243753980258026,0.7898402149321244
development_oof,1.0,persistence,3724,104,118,0.06865577021579602,0.17155063471183682,-3.4610409519443914,0.896889621260216,0.0035859728506787325,1.0243753980258026,0.6778139140271474
stage4,0.25,force_only,297,13,13,0.13073263183128397,0.20463803771536107,-0.17087752593830263,0.63210815547029,0.03135254309343378,0.9544743038384009,0.8511991001429482
stage4,0.25,torque_only,297,13,13,0.15364045632361853,0.22418075268765436,-0.40519110089266563,0.48596336508373783,0.03135254309343378,0.9544743038384009,1.0000000000000004
stage4,0.25,current_progress,297,13,13,0.11611683066522599,0.18966315359200397,-0.0057839005862101445,0.40312127000476033,0.03135254309343378,0.9544743038384009,0.5090929235446044
stage4,0.25,wrench_history,297,13,13,0.14708106010914784,0.23203715266619987,-0.5054065453124834,0.49329168134937335,0.03135254309343378,0.9544743038384009,0.7336773296331474
stage4,0.25,progress_wrench_motion,297,13,13,0.11925245731930945,0.19201884543343048,-0.03092353169794415,0.5753539805755508,0.03135254309343378,0.9544743038384009,0.5676666273887273
stage4,0.25,persistence,297,13,13,0.08907871909872014,0.16881395766151444,0.20318876700280064,0.8276119541330855,0.03135254309343378,0.9544743038384009,0.3949729395953651
stage4,0.5,force_only,285,13,13,0.15737675230184078,0.24543792797291727,-0.4265541098666068,0.5420907843284616,0.06697859046037184,0.9130371410399414,0.9750915750915754
stage4,0.5,torque_only,285,13,13,0.16260394983683313,0.24981056238598123,-0.47783685046872804,0.5890903728520028,0.06697859046037184,0.9130371410399414,0.9926739926739929
stage4,0.5,current_progress,285,13,13,0.1326720484531675,0.22572255868580557,-0.20657640050069026,0.5259036782529246,0.06697859046037184,0.9130371410399414,0.5030579407097625
stage4,0.5,wrench_history,285,13,13,0.15086715070957432,0.24322897325996937,-0.400991532851783,0.5207127244022719,0.06697859046037184,0.9130371410399414,0.7634371925869903
stage4,0.5,progress_wrench_motion,285,13,13,0.12208865916293653,0.2065064829536494,-0.009885828598020785,0.7119754930564435,0.06697859046037184,0.9130371410399414,0.4661510778919685
stage4,0.5,persistence,285,13,13,0.10057989217746541,0.18916264856940543,0.1526249552359621,0.7530414842927609,0.06697859046037184,0.9130371410399414,0.38122871280766013
stage4,1.0,force_only,255,13,13,0.19297363439612958,0.31620495066975374,-0.5491213562394819,0.40344599380457075,0.1384748854384482,0.841217651202686,0.9999999999999997
stage4,1.0,torque_only,255,13,13,0.1924101113308725,0.31296379902069454,-0.5175266293366294,0.7075138986578421,0.1384748854384482,0.841217651202686,0.9999999999999997
stage4,1.0,current_progress,255,13,13,0.1712774699755382,0.285951945359545,-0.26687632915926285,0.760760781301947,0.1384748854384482,0.841217651202686,0.7411716544813709
stage4,1.0,wrench_history,255,13,13,0.18782927787698314,0.3082910325394329,-0.4725494756723201,0.5321558187784039,0.1384748854384482,0.841217651202686,0.7693751513893212
stage4,1.0,progress_wrench_motion,255,13,13,0.1597029460126562,0.26565081908645727,-0.0933782474429583,0.7992752211913344,0.1384748854384482,0.841217651202686,0.40228889531521106
stage4,1.0,persistence,255,13,13,0.15078955105370934,0.2585500398209889,-0.035707995142076454,0.7543103476734467,0.1384748854384482,0.841217651202686,0.38063347471242204
