evaluation,horizon_s,model,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
stage4,0.25,force_only,332,13,13,0.23135311763449362,0.3967623831654549,-0.21284131689862096,0.6956901608729774,0.1450647457336421,0.8493941848565743,0.8035274276076955
stage4,0.25,torque_only,332,13,13,0.25612989010069886,0.4187945265026028,-0.35127890453411426,0.5840431341075123,0.1450647457336421,0.8493941848565743,0.9770216962524659
stage4,0.25,current_progress,332,13,13,0.1770239927811429,0.2975301217095977,0.3179677941196508,0.8262656514613036,0.1450647457336421,0.8493941848565743,0.45555341165709057
stage4,0.25,wrench_history,332,13,13,0.26037967431375186,0.49452092605740344,-0.8841364465452302,0.5887711660260521,0.1450647457336421,0.8493941848565743,0.7328137952719894
stage4,0.25,progress_wrench_motion,332,13,13,0.20847270502301304,0.3889035028786018,-0.16527039449731706,0.7078754273629598,0.1450647457336421,0.8493941848565743,0.5845676828745392
stage4,0.25,contact_wrench_history,332,13,13,0.21767274500721676,0.4652750143017702,-0.6678710296156192,0.9283582136909563,0.1450647457336421,0.8493941848565743,0.6793401437841238
stage4,0.25,progress_contact_motion,332,13,13,0.21331503073350455,0.48836655171343296,-0.837531639529784,0.9291145290644799,0.1450647457336421,0.8493941848565743,0.5281922648143385
stage4,0.25,persistence,332,13,13,0.14368262501811613,0.2595517644995031,0.4809717766570427,0.9593034400805318,0.1450647457336421,0.8493941848565743,0.3626618643341051
stage4,0.5,force_only,320,13,13,0.2641239576754732,0.44935582380720607,-0.5966132129974626,0.430315521046947,0.1725866849612669,0.8147290934747227,0.9557222691838081
stage4,0.5,torque_only,320,13,13,0.2566389845937078,0.4208352705372404,-0.4003713987908164,0.662659056678953,0.1725866849612669,0.8147290934747227,0.9446745562130181
stage4,0.5,current_progress,320,13,13,0.1858989647391976,0.31728095119083244,0.2040111810036005,0.8137222200430319,0.1725866849612669,0.8147290934747227,0.45331344612281066
stage4,0.5,wrench_history,320,13,13,0.26178448241902463,0.5316480384015253,-1.2349478885980179,0.5372768815819837,0.1725866849612669,0.8147290934747227,0.762630114218743
stage4,0.5,progress_wrench_motion,320,13,13,0.1907297223589442,0.3637992137218339,-0.046507829428936276,0.8271440479195312,0.1725866849612669,0.8147290934747227,0.5115685782073742
stage4,0.5,contact_wrench_history,320,13,13,0.4743872238078452,1.477614121469891,-16.26398442893036,0.9180649416792913,0.1725866849612669,0.8147290934747227,0.6866666870847473
stage4,0.5,progress_contact_motion,320,13,13,0.394686710336172,1.2071682426591444,-10.522708446391931,0.9396969409049382,0.1725866849612669,0.8147290934747227,0.49711860046308204
stage4,0.5,persistence,320,13,13,0.15046492921514454,0.2682846821106443,0.4308709893750281,0.9181599020701124,0.1725866849612669,0.8147290934747227,0.34891763754640004
stage4,1.0,force_only,283,13,13,0.2655840393250136,0.4392544314887843,-0.6096096392656705,0.33466716401153984,0.21142976588628765,0.7716698800563817,0.9921153846153843
stage4,1.0,torque_only,283,13,13,0.2615372874022497,0.4280383571112211,-0.5284584522340761,0.6980340848606363,0.21142976588628765,0.7716698800563817,0.9907692307692305
stage4,1.0,current_progress,283,13,13,0.2022269850427697,0.3327718629978765,0.07619255679499504,0.8727981524410331,0.21142976588628765,0.7716698800563817,0.6709030100334445
stage4,1.0,wrench_history,283,13,13,0.29552802542162904,0.5945344460235562,-1.9487795391209843,0.5463266090140814,0.21142976588628765,0.7716698800563817,0.7607357859531769
stage4,1.0,progress_wrench_motion,283,13,13,0.20594568030508936,0.35544640779011516,-0.05399007168965353,0.7934587367628341,0.21142976588628765,0.7716698800563817,0.4257023411371237
stage4,1.0,contact_wrench_history,283,13,13,0.4554514785557814,1.492735115510176,-17.588902936171905,0.9332093572803387,0.21142976588628765,0.7716698800563817,0.6314604236343364
stage4,1.0,progress_contact_motion,283,13,13,0.37123009462468015,1.1245973306022656,-9.550726312978208,0.9342686179688635,0.21142976588628765,0.7716698800563817,0.44448160535117043
stage4,1.0,persistence,283,13,13,0.18491732942460515,0.30796260509464873,0.20880373146782738,0.8667394159500684,0.21142976588628765,0.7716698800563817,0.3485590858416945
