evaluation,horizon_s,model,mode,stalled_trajectories,detected_before_confirmation,detected_before_lookback,median_lead_to_confirmation_s,min_lead_to_confirmation_s,nonstalled_trajectories,nonstall_alerts,nonstall_alert_rate,nonstall_alert_rate_groupweighted,trajectories_without_eligible_windows
development_oof,0.25,force_only,calibrated,6,1,0,0.16666666666878882,0.16666666666878882,112,7,0.0625,0.06435643564356436,0
development_oof,0.25,force_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.25,force_only,calibrated,11,6,2,0.3708333333305518,0.13333333333503106,28,2,0.07142857142857142,0.07692307692307691,0
quarantined_shared_path,0.25,force_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,0.25,force_only,calibrated,7,5,2,0.39166666666631045,0.16666666666651508,6,1,0.16666666666666666,0.16666666666666666,0
stage4,0.25,force_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,0.25,torque_only,calibrated,6,0,0,,,112,6,0.05357142857142857,0.0594059405940594,0
development_oof,0.25,torque_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.25,torque_only,calibrated,11,6,0,0.07916666666710626,0.03333333333284827,28,0,0.0,0.0,0
quarantined_shared_path,0.25,torque_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,0.25,torque_only,calibrated,7,3,0,0.15833333333318933,0.06666666666660603,6,0,0.0,0.0,0
stage4,0.25,torque_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,0.25,current_progress,calibrated,6,6,1,0.16666666666424135,0.0916666666665833,112,11,0.09821428571428571,0.10891089108910891,0
development_oof,0.25,current_progress,semantic_eta_0.5,6,6,1,0.07916666666704941,0.06666666666569654,112,3,0.026785714285714284,0.0297029702970297,0
quarantined_shared_path,0.25,current_progress,calibrated,11,11,0,0.1416666666666586,0.03333333333284827,28,0,0.0,0.0,0
quarantined_shared_path,0.25,current_progress,semantic_eta_0.5,11,11,0,0.07500000000095497,0.016666666666878882,28,0,0.0,0.0,0
stage4,0.25,current_progress,calibrated,7,7,0,0.12500000000159162,0.05833333333328028,6,0,0.0,0.0,0
stage4,0.25,current_progress,semantic_eta_0.5,7,2,0,0.08333333333328952,0.07499999999999574,6,0,0.0,0.0,0
development_oof,0.25,wrench_history,calibrated,6,0,0,,,112,11,0.09821428571428571,0.09900990099009901,0
development_oof,0.25,wrench_history,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.25,wrench_history,calibrated,11,7,2,0.27500000000350155,0.11666666666496894,28,3,0.10714285714285714,0.15384615384615383,0
quarantined_shared_path,0.25,wrench_history,semantic_eta_0.5,11,6,0,0.1625000000020691,0.03333333333284827,28,0,0.0,0.0,0
stage4,0.25,wrench_history,calibrated,7,4,1,0.2833333333344399,0.15000000000190994,6,0,0.0,0.0,0
stage4,0.25,wrench_history,semantic_eta_0.5,7,4,0,0.1833333333338487,0.050000000000636646,6,0,0.0,0.0,0
development_oof,0.25,progress_wrench_motion,calibrated,6,4,0,0.08749999999872671,0.06666666666569654,112,13,0.11607142857142858,0.12871287128712872,0
development_oof,0.25,progress_wrench_motion,semantic_eta_0.5,6,3,0,0.10833333333175688,0.06666666666569654,112,2,0.017857142857142856,0.019801980198019802,0
quarantined_shared_path,0.25,progress_wrench_motion,calibrated,11,8,0,0.2791666666682886,0.13333333333139308,28,0,0.0,0.0,0
quarantined_shared_path,0.25,progress_wrench_motion,semantic_eta_0.5,11,8,0,0.187500000000842,0.05833333333248447,28,0,0.0,0.0,0
stage4,0.25,progress_wrench_motion,calibrated,7,4,0,0.2875000000019021,0.26666666666642413,6,0,0.0,0.0,0
stage4,0.25,progress_wrench_motion,semantic_eta_0.5,7,4,0,0.27083333333320425,0.25000000000318323,6,0,0.0,0.0,0
development_oof,0.25,contact_wrench_history,calibrated,6,3,0,0.2666666666700621,0.06666666666569654,112,7,0.0625,0.06435643564356436,0
development_oof,0.25,contact_wrench_history,semantic_eta_0.5,6,3,0,0.16666666666878882,0.06666666666569654,112,0,0.0,0.0,0
quarantined_shared_path,0.25,contact_wrench_history,calibrated,11,11,4,0.24999999999977263,0.05833333333248447,28,3,0.10714285714285714,0.11538461538461536,0
quarantined_shared_path,0.25,contact_wrench_history,semantic_eta_0.5,11,11,1,0.17500000000222826,0.05833333333248447,28,0,0.0,0.0,0
stage4,0.25,contact_wrench_history,calibrated,7,7,3,0.40000000000509317,0.2250000000028649,6,0,0.0,0.0,0
stage4,0.25,contact_wrench_history,semantic_eta_0.5,7,7,1,0.2916666666664014,0.15000000000190994,6,0,0.0,0.0,0
development_oof,0.25,progress_contact_motion,calibrated,6,3,0,0.16666666666878882,0.06666666666569654,112,9,0.08035714285714286,0.0891089108910891,0
development_oof,0.25,progress_contact_motion,semantic_eta_0.5,6,3,0,0.16666666666878882,0.06666666666569654,112,3,0.026785714285714284,0.0297029702970297,0
quarantined_shared_path,0.25,progress_contact_motion,calibrated,11,11,1,0.24999999999977263,0.05833333333248447,28,0,0.0,0.0,0
quarantined_shared_path,0.25,progress_contact_motion,semantic_eta_0.5,11,11,0,0.24166666666665293,0.05833333333248447,28,0,0.0,0.0,0
stage4,0.25,progress_contact_motion,calibrated,7,7,1,0.3000000000038199,0.2250000000028649,6,0,0.0,0.0,0
stage4,0.25,progress_contact_motion,semantic_eta_0.5,7,7,0,0.27499999999998437,0.2250000000028649,6,0,0.0,0.0,0
development_oof,0.25,persistence,calibrated,6,2,1,0.4333333333270275,0.008333333333212067,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,0.25,persistence,semantic_eta_0.5,6,2,1,0.4333333333270275,0.008333333333212067,112,14,0.125,0.13861386138613863,0
quarantined_shared_path,0.25,persistence,calibrated,11,8,0,0.04583333333330941,0.016666666666424135,28,0,0.0,0.0,0
