cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
all,stalled_vs_success,whole,full_sensitivity,157,24,111,0.9628505622544372,0.8883945707199528,1.0,0.9832949464842166,-0.020444384229779344,-0.09576967759165107,0.03617188801752492,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,translation_sensitivity,157,24,111,0.95138870071806,0.8455160395082123,1.0000000000000002,0.9832949464842166,-0.03190624576615653,-0.13624359719737703,0.037523602033405934,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,lateral_tilt_sensitivity,157,24,111,0.9264530551415799,0.8470673625429143,0.9863425641131491,0.9832949464842166,-0.05684189134263662,-0.14339423265437334,0.012486580783682014,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,force_norm,157,24,111,0.9832949464842166,0.9514295809729029,1.0,0.9832949464842166,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,torque_norm,157,24,111,1.0000000000000004,0.9999999999999998,1.0000000000000004,0.9832949464842166,0.016705053515783885,0.0,0.0485704190270971,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,normal_load,157,24,111,1.0000000000000004,0.9999999999999999,1.0000000000000004,0.9832949464842166,0.016705053515783885,0.0,0.0485704190270971,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,progress_rate,157,24,111,0.6991058122205666,0.5882953931994164,0.802477566075453,0.9832949464842166,-0.28418913426365,-0.39514702380816946,-0.1863555989099467,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,abs_dforce_dt,157,24,111,0.793341010703157,0.7124398862822399,0.871481538079007,0.9832949464842166,-0.18995393578105957,-0.2678754556677652,-0.11657137659830062,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,rms_dforce_dt,157,24,111,0.8827801110960576,0.7702546973961745,0.9748466074293382,0.9832949464842166,-0.10051483538815897,-0.21276762834926935,-0.0031573100683880235,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,whole,abs_dforce_ddepth,157,24,111,0.8735740414577973,0.7592055269712081,0.9714898134228126,0.9832949464842166,-0.10972090502641929,-0.21888152469683192,-0.017306047150009284,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,full_sensitivity,157,24,111,0.7638328139818452,0.5915514768014102,0.903047711241553,0.7138192656821568,0.050013548299688404,-0.01614850914768535,0.1223185337858839,descriptive grouped association; no held-out classifier or causal inference
