configuration,cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
length_5mm,all,stalled_vs_success,whole,full_sensitivity,157,24,111,0.9517138599105814,,,0.9832949464842166,-0.03158108657363512,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,all,stalled_vs_success,band10_15,full_sensitivity,157,24,111,0.7668811814117328,,,0.7138192656821568,0.05306191572957597,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,all,difficult_vs_success,whole,full_sensitivity,170,37,117,0.9498383640260071,,,0.9768261232792125,-0.0269877592532054,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,all,difficult_vs_success,band10_15,full_sensitivity,170,37,117,0.7769241945443318,,,0.6940176528277214,0.08290654171661038,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2A,stalled_vs_success,whole,full_sensitivity,96,3,89,0.8875968992248062,,,0.9844961240310077,-0.0968992248062015,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2A,stalled_vs_success,band10_15,full_sensitivity,96,3,89,0.8992248062015504,,,0.7635658914728682,0.1356589147286822,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2A,difficult_vs_success,whole,full_sensitivity,100,7,93,0.9269102990033222,,,0.9750830564784053,-0.048172757475083094,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2A,difficult_vs_success,band10_15,full_sensitivity,100,7,93,0.8604651162790697,,,0.8388704318936877,0.021594684385382035,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2B,stalled_vs_success,whole,full_sensitivity,61,21,22,0.9709955578782332,,,0.9917690096681475,-0.0207734517899143,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2B,stalled_vs_success,band10_15,full_sensitivity,61,21,22,0.7924614580611448,,,0.8161745492552915,-0.023713091194146774,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2B,difficult_vs_success,whole,full_sensitivity,70,30,24,0.9534368070953437,,,0.9937915742793791,-0.04035476718403541,,,descriptive grouped association; no held-out classifier or causal inference
length_5mm,Phase2B,difficult_vs_success,band10_15,full_sensitivity,70,30,24,0.8237250554323725,,,0.7445676274944567,0.0791574279379158,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,all,stalled_vs_success,whole,full_sensitivity,157,24,111,0.9596802601273542,,,0.9832949464842166,-0.02361468635686237,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,all,stalled_vs_success,band10_15,full_sensitivity,157,24,111,0.7451361604118684,,,0.7138192656821568,0.03131689472971155,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,all,difficult_vs_success,whole,full_sensitivity,170,37,117,0.9498020413352221,,,0.9768261232792125,-0.02702408194399042,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,all,difficult_vs_success,band10_15,full_sensitivity,170,37,117,0.7476117830808906,,,0.6940176528277214,0.05359413025316917,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2A,stalled_vs_success,whole,full_sensitivity,96,3,89,0.8682170542635659,,,0.9844961240310077,-0.11627906976744184,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2A,stalled_vs_success,band10_15,full_sensitivity,96,3,89,0.8527131782945736,,,0.7635658914728682,0.08914728682170536,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2A,difficult_vs_success,whole,full_sensitivity,100,7,93,0.9136212624584718,,,0.9750830564784053,-0.06146179401993357,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2A,difficult_vs_success,band10_15,full_sensitivity,100,7,93,0.8272425249169435,,,0.8388704318936877,-0.011627906976744207,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2B,stalled_vs_success,whole,full_sensitivity,61,21,22,0.9999999999999996,,,0.9917690096681475,0.00823099033185204,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2B,stalled_vs_success,band10_15,full_sensitivity,61,21,22,0.7912856022994516,,,0.8161745492552915,-0.024888946955839986,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2B,difficult_vs_success,whole,full_sensitivity,70,30,24,0.9636363636363636,,,0.9937915742793791,-0.030155210643015518,,,descriptive grouped association; no held-out classifier or causal inference
length_20mm,Phase2B,difficult_vs_success,band10_15,full_sensitivity,70,30,24,0.8188470066518847,,,0.7445676274944567,0.074279379157428,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,all,stalled_vs_success,whole,full_sensitivity,157,24,111,0.9990245224224362,,,0.9832949464842166,0.015729575938219664,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,all,stalled_vs_success,band10_15,full_sensitivity,157,24,111,0.74011651537732,,,0.7138192656821568,0.026297249695163227,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,all,difficult_vs_success,whole,full_sensitivity,170,37,117,0.9698884893392903,,,0.9768261232792125,-0.006937633939922194,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,all,difficult_vs_success,band10_15,full_sensitivity,170,37,117,0.7642475754603901,,,0.6940176528277214,0.0702299226326687,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2A,stalled_vs_success,whole,full_sensitivity,96,3,89,0.9961240310077519,,,0.9844961240310077,0.011627906976744207,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2A,stalled_vs_success,band10_15,full_sensitivity,96,3,89,0.8798449612403101,,,0.7635658914728682,0.11627906976744184,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2A,difficult_vs_success,whole,full_sensitivity,100,7,93,0.9817275747508306,,,0.9750830564784053,0.006644518272425293,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2A,difficult_vs_success,band10_15,full_sensitivity,100,7,93,0.8488372093023255,,,0.8388704318936877,0.009966777408637828,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2B,stalled_vs_success,whole,full_sensitivity,61,21,22,0.9999999999999996,,,0.9917690096681475,0.00823099033185204,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2B,stalled_vs_success,band10_15,full_sensitivity,61,21,22,0.7836425398484455,,,0.8161745492552915,-0.032532009406846085,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2B,difficult_vs_success,whole,full_sensitivity,70,30,24,0.9463414634146341,,,0.9937915742793791,-0.04745011086474504,,,descriptive grouped association; no held-out classifier or causal inference
lag_2_steps,Phase2B,difficult_vs_success,band10_15,full_sensitivity,70,30,24,0.8268292682926829,,,0.7445676274944567,0.08226164079822618,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,all,stalled_vs_success,whole,full_sensitivity,157,24,111,0.9449668066657635,,,0.9734182360113809,-0.028451429345617396,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,all,stalled_vs_success,band10_15,full_sensitivity,157,24,111,0.7497595176805311,,,0.7137176534344939,0.03604186424603717,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,all,difficult_vs_success,whole,full_sensitivity,170,37,117,0.9437724746649232,,,0.9691983582143765,-0.0254258835494533,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,all,difficult_vs_success,band10_15,full_sensitivity,170,37,117,0.7672441974501472,,,0.6904943518215829,0.07674984562856424,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2A,stalled_vs_success,whole,full_sensitivity,96,3,89,0.8488372093023255,,,0.9883720930232558,-0.13953488372093026,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2A,stalled_vs_success,band10_15,full_sensitivity,96,3,89,0.875968992248062,,,0.7713178294573644,0.10465116279069764,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2A,difficult_vs_success,whole,full_sensitivity,100,7,93,0.9036544850498339,,,0.973421926910299,-0.06976744186046513,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2A,difficult_vs_success,band10_15,full_sensitivity,100,7,93,0.8372093023255814,,,0.8372093023255814,0.0,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2B,stalled_vs_success,whole,full_sensitivity,61,21,22,0.9835380193362944,,,0.978834596289522,0.004703423046772404,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2B,stalled_vs_success,band10_15,full_sensitivity,61,21,22,0.7857002874314086,,,0.8151946694538805,-0.0294943820224719,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2B,difficult_vs_success,whole,full_sensitivity,70,30,24,0.9609756097560975,,,0.985809312638581,-0.024833702882483433,,,descriptive grouped association; no held-out classifier or causal inference
window_500ms,Phase2B,difficult_vs_success,band10_15,full_sensitivity,70,30,24,0.8385809312638581,,,0.7441241685144124,0.0944567627494457,,,descriptive grouped association; no held-out classifier or causal inference
