case_id,split,policy,detector_id,stage,threshold_n,run_id,log,family,severity,group_id,force_threshold_n,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,grasp_retention_failure,terminal_timeout,terminal_phase,safety_before_any_recovery,safety_during_recovery,verified_unloadings,ready_unloadings,retries,retry_successes,repeated_stalls,first_trigger_time_s,first_trigger_depth_mm
ft025_axis_tilt_moderate_v1,held_out,nominal,nominal,held_out,,held_out/ft025_axis_tilt_moderate_v1/nominal,held_out/ft025_axis_tilt_moderate_v1/nominal/trajectory.csv,axis_tilt,moderate,ft025_axis_tilt_moderate_v1,,False,False,0,0.0,,5.523592472076416,0.2687963843345642,23.665098190307617,7.041842937469482,0.07994142652023584,0.06698249490000308,0.17245846124184028,False,False,True,True,0,19.999999999679858,,18.880119174718857,18.993941694498062,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft026_axis_tilt_moderate_v2,held_out,force,force,held_out,,held_out/ft026_axis_tilt_moderate_v2/force,held_out/ft026_axis_tilt_moderate_v2/force/trajectory.csv,axis_tilt,moderate,ft026_axis_tilt_moderate_v2,1.0,False,False,0,0.0,,2.1395328044891357,0.26782986521720886,6.430568218231201,2.9787633419036865,0.0375806812371593,0.047687724872957915,0.11869404022070311,False,False,True,True,0,19.999999999679858,,19.180694222450256,19.190458208322525,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft026_axis_tilt_moderate_v2,held_out,nominal,nominal,held_out,,held_out/ft026_axis_tilt_moderate_v2/nominal,held_out/ft026_axis_tilt_moderate_v2/nominal/trajectory.csv,axis_tilt,moderate,ft026_axis_tilt_moderate_v2,,False,False,0,0.0,,2.5336530208587646,0.22719305753707886,6.452056407928467,3.028752088546753,0.032774547435110435,0.0538046624569688,0.11190581936148891,False,False,True,True,0,19.999999999679858,,19.181256741285324,19.188960641622543,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft027_axis_tilt_moderate_v3,held_out,force,force,held_out,,held_out/ft027_axis_tilt_moderate_v3/force,held_out/ft027_axis_tilt_moderate_v3/force/trajectory.csv,axis_tilt,moderate,ft027_axis_tilt_moderate_v3,1.0,False,False,0,0.0,,1.3395302295684814,0.11317002028226852,6.840942859649658,1.5069520473480225,0.032938565709628165,0.05225649510975927,0.11869404022070311,False,False,True,True,0,19.999999999679858,,19.435522705316544,19.438517838716507,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft027_axis_tilt_moderate_v3,held_out,nominal,nominal,held_out,,held_out/ft027_axis_tilt_moderate_v3/nominal,held_out/ft027_axis_tilt_moderate_v3/nominal/trajectory.csv,axis_tilt,moderate,ft027_axis_tilt_moderate_v3,,False,False,0,0.0,,1.6882190704345703,0.13074439764022827,6.157102108001709,1.911716103553772,0.029268168873386458,0.049037036660593,0.11190581936148891,False,False,True,True,0,19.999999999679858,,19.423314929008484,19.425274431705475,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft028_axis_tilt_severe_v0,held_out,nominal,nominal,held_out,,held_out/ft028_axis_tilt_severe_v0/nominal,held_out/ft028_axis_tilt_severe_v0/nominal/trajectory.csv,axis_tilt,severe,ft028_axis_tilt_severe_v0,,False,True,1,1.0333333333333332,8.841666666538003,4.243008136749268,0.14657554030418396,20.118144989013672,4.574040412902832,0.10693750664358959,0.06016151746734977,0.13705609666978325,False,False,True,True,0,19.999999999680313,,15.575525909662248,15.69713428616524,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft029_axis_tilt_severe_v1,held_out,nominal,nominal,held_out,,held_out/ft029_axis_tilt_severe_v1/nominal,held_out/ft029_axis_tilt_severe_v1/nominal/trajectory.csv,axis_tilt,severe,ft029_axis_tilt_severe_v1,,False,True,1,0.725,9.14999999986685,4.452927112579346,0.1726011484861374,21.317081451416016,4.893130302429199,0.11532708595041186,0.07595494389533997,0.15825873808122176,False,False,True,True,0,19.999999999679858,,16.563040763139725,16.76252633333206,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft030_axis_tilt_severe_v2,held_out,force,force,held_out,,held_out/ft030_axis_tilt_severe_v2/force,held_out/ft030_axis_tilt_severe_v2/force/trajectory.csv,axis_tilt,severe,ft030_axis_tilt_severe_v2,1.0,False,False,0,0.0,,2.083313465118408,0.2106170803308487,14.179189682006836,2.410858631134033,0.06433406088035554,0.10596615175018087,0.18974557664965,False,False,False,True,0,7.241666666532183,,18.36838349699974,18.375200778245926,7.241666666666666,0.0,grasp_retention_limit,1110,True,True,False,insert,True,False,0,0,0,0,0,,
ft030_axis_tilt_severe_v2,held_out,nominal,nominal,held_out,,held_out/ft030_axis_tilt_severe_v2/nominal,held_out/ft030_axis_tilt_severe_v2/nominal/trajectory.csv,axis_tilt,severe,ft030_axis_tilt_severe_v2,,False,False,0,0.0,,1.8117914199829102,0.21061021089553833,14.733060836791992,2.208247423171997,0.06741457036696374,0.10247789032291621,0.18557483902685806,False,False,False,True,0,7.249999999865395,,18.36392432451248,18.36772784590721,7.25,0.0,grasp_retention_limit,1111,True,True,False,insert,True,False,0,0,0,0,0,,
ft031_axis_tilt_severe_v3,held_out,nominal,nominal,held_out,,held_out/ft031_axis_tilt_severe_v3/nominal,held_out/ft031_axis_tilt_severe_v3/nominal/trajectory.csv,axis_tilt,severe,ft031_axis_tilt_severe_v3,,False,False,0,0.0,,3.3897855281829834,0.26529237627983093,12.188056945800781,3.8709192276000977,0.04683388033299707,0.10150839079869911,0.18557483902685806,False,False,False,True,0,7.799999999857391,,19.298912584781647,19.31110918521881,7.8,0.0,grasp_retention_limit,1177,True,True,False,insert,True,False,0,0,0,0,0,,
ft031_axis_tilt_severe_v3,held_out,force,force,held_out,,held_out/ft031_axis_tilt_severe_v3/force,held_out/ft031_axis_tilt_severe_v3/force/trajectory.csv,axis_tilt,severe,ft031_axis_tilt_severe_v3,1.0,False,False,0,0.0,,3.3897855281829834,0.26529237627983093,12.188056945800781,3.8709192276000977,0.04683388033299707,0.10150839079869911,0.18557483902685806,False,False,False,True,0,7.799999999857391,,19.298912584781647,19.31110918521881,7.8,0.0,grasp_retention_limit,1177,True,True,False,insert,True,False,0,0,0,0,0,,
ft031_axis_tilt_severe_v3,held_out,productivity,productivity,held_out,,held_out/ft031_axis_tilt_severe_v3/productivity,held_out/ft031_axis_tilt_severe_v3/productivity/trajectory.csv,axis_tilt,severe,ft031_axis_tilt_severe_v3,,False,False,0,0.0,,3.389784097671509,0.2657158076763153,13.519268989562988,3.8709185123443604,0.05253623749013059,0.10940768697764724,0.19382658799830615,False,False,False,True,0,7.791666666524179,,19.309045374393463,19.310159236192703,7.791666666666667,0.0,grasp_retention_limit,1176,True,True,False,insert,True,False,0,0,0,0,0,,
ft032_oblique_tilt_moderate_v0,held_out,nominal,nominal,held_out,,held_out/ft032_oblique_tilt_moderate_v0/nominal,held_out/ft032_oblique_tilt_moderate_v0/nominal/trajectory.csv,oblique_tilt,moderate,ft032_oblique_tilt_moderate_v0,,False,False,0,0.0,,4.8082170486450195,0.2604998052120209,21.787172317504883,5.949963092803955,0.07479998748749495,0.06509995728265494,0.11869404022070311,False,False,True,True,0,19.999999999679858,,18.87912079691887,18.953894823789597,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft033_oblique_tilt_moderate_v1,held_out,nominal,nominal,held_out,,held_out/ft033_oblique_tilt_moderate_v1/nominal,held_out/ft033_oblique_tilt_moderate_v1/nominal/trajectory.csv,oblique_tilt,moderate,ft033_oblique_tilt_moderate_v1,,False,False,0,0.0,,2.0835347175598145,0.11875206232070923,7.312678337097168,2.4678399562835693,0.03542931881383993,0.044742042518919334,0.11190581936148891,False,False,True,True,0,19.999999999679858,,19.1900335252285,19.196057319641113,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
