case_id,family,severity,detector,nominal_success,nominal_outcome,nominal_stalled,nominal_first_stall_s,nominal_safety_time_s,shadow_triggered,first_trigger_time_s,first_trigger_depth_mm,branch,wrist_force_at_trigger_n,eta_at_trigger,actual_progress_rate_mm_s,command_progress_rate_mm_s,safety_lead_s,stall_lead_s,safe_alarm_checks,false_alert,actual_interventions,actual_prefix_matched_to_nominal
ft000_easy_controls_easy_v0,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft000_easy_controls_easy_v0,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft001_easy_controls_easy_v1,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft001_easy_controls_easy_v1,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft002_easy_controls_easy_v2,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft002_easy_controls_easy_v2,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft003_easy_controls_easy_v3,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft003_easy_controls_easy_v3,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft004_easy_controls_easy_v0,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft004_easy_controls_easy_v0,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft005_easy_controls_easy_v1,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft005_easy_controls_easy_v1,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft006_easy_controls_easy_v2,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft006_easy_controls_easy_v2,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft007_easy_controls_easy_v3,easy_controls,easy,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft007_easy_controls_easy_v3,easy_controls,easy,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft008_axis_offset_moderate_v0,axis_offset,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
