trajectory_id,folder,family,policy,depth_mm,replay_matched,checkpoint_kind,checkpoint_id,label_eligible,safe_recovery,reason,numerically_valid,grasp_retained,cleared,force_budget_exceeded,torque_budget_exceeded,max_force,max_torque,max_wrist_force_n,max_wrist_torque_nm,max_normal_load,max_penetration,recovery_work_j,clear_time_s,duration_s,force_axis_frame,wrist_axial_signal,retreat_contact_resistance_definition,moving_average_support_s,stop_observed,stop_sample_count,stop_duration_s,stop_peak_wrist_force_n,stop_peak_wrist_torque_nm,stop_peak_wrist_world_z_abs_n,stop_peak_contact_force_n,stop_peak_contact_downward_resistance_n,stop_peak_wrist_force_mean100ms_n,stop_peak_wrist_world_z_abs_mean100ms_n,stop_peak_contact_downward_resistance_mean100ms_n,stop_contact_resistive_work_j,realign_observed,realign_sample_count,realign_duration_s,realign_peak_wrist_force_n,realign_peak_wrist_torque_nm,realign_peak_wrist_world_z_abs_n,realign_peak_contact_force_n,realign_peak_contact_downward_resistance_n,realign_peak_wrist_force_mean100ms_n,realign_peak_wrist_world_z_abs_mean100ms_n,realign_peak_contact_downward_resistance_mean100ms_n,realign_contact_resistive_work_j,retreat_observed,retreat_sample_count,retreat_duration_s,retreat_peak_wrist_force_n,retreat_peak_wrist_torque_nm,retreat_peak_wrist_world_z_abs_n,retreat_peak_contact_force_n,retreat_peak_contact_downward_resistance_n,retreat_peak_wrist_force_mean100ms_n,retreat_peak_wrist_world_z_abs_mean100ms_n,retreat_peak_contact_downward_resistance_mean100ms_n,retreat_contact_resistive_work_j,clear_hold_observed,clear_hold_sample_count,clear_hold_duration_s,clear_hold_peak_wrist_force_n,clear_hold_peak_wrist_torque_nm,clear_hold_peak_wrist_world_z_abs_n,clear_hold_peak_contact_force_n,clear_hold_peak_contact_downward_resistance_n,clear_hold_peak_wrist_force_mean100ms_n,clear_hold_peak_wrist_world_z_abs_mean100ms_n,clear_hold_peak_contact_downward_resistance_mean100ms_n,clear_hold_contact_resistive_work_j,retreat_start_depth_mm,retreat_end_depth_mm,retreat_actual_withdrawal_mm,retreat_commanded_withdrawal_mm,retreat_max_depth_tracking_error_mm,termination_reason,recovery_censored,termination_phase,replay_error_position_mm,replay_error_orientation_deg,replay_error_joint_rad,replay_error_joint_velocity_rad_s,replay_error_linear_velocity_m_s,replay_error_angular_velocity_rad_s,replay_error_force_n,replay_error_torque_nm,replay_error_normal_load_n,replay_error_min_separation_mm,replay_error_wrist_torque_nm,replay_error_finger_position,replay_error_finger_velocity,replay_error_grasp_position,replay_error_hand_pose,replay_error_wrist_raw_child,replay_error_grasp_quat_angle_deg,replay_error_hand_pose_angle_deg,sample_role,split_group_id,path_group_id,final_pitch_deg,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s
g0200_aligned_try00,g0200_aligned_try00,centered,straight,20.044488459825516,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.0,0.0,0.03443681821227074,0.018398944288492203,0.0,0.0,0.0,4.483333333333333,4.483333333333333,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.03443681821227074,0.018398944288492203,0.014360780827701092,0.0,0.0,0.005738529105049868,0.0032982176053337753,0.0,0.0,False,0,0.0,,,,,,,,,,True,508,4.233333333333333,0.015502744354307652,0.0034698382951319218,0.00871496181935072,0.0,0.0,0.007333016100650032,0.00538693197692434,0.0,0.0,False,0,0.0,,,,,,,,,,20.060868561267853,-3.3192545175552355,23.38012307882309,23.764067309567622,0.5847299234755159,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned_control,g0200_aligned,g0200_aligned,0.0,g0200_aligned,0.2,0.19899400710569026,8.386,7.986,,,0.0,1,pitch,1.0
g0200_aligned_try00,g0200_aligned_try00,centered,realign,20.044488459825516,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.0,0.0,0.03443681821227074,0.018398944288492203,0.0,0.0,0.0,6.483333333333333,6.483333333333333,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.03443681821227074,0.018398944288492203,0.014360780827701092,0.0,0.0,0.005738529105049868,0.0032982176053337753,0.0,0.0,True,240,2.0,0.017546623945236206,0.014491884037852287,0.005247883033007383,0.0,0.0,0.005385295468537758,0.001254316991738354,0.0,0.0,True,508,4.233333333333333,0.017421748489141464,0.004040906205773354,0.009102076292037964,0.0,0.0,0.008426164199287692,0.006492227432318032,0.0,0.0,False,0,0.0,,,,,,,,,,20.081394910812378,-3.2998979091644274,23.381292819976807,23.764067309567622,0.5822115331881719,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned_control,g0200_aligned,g0200_aligned,0.0,g0200_aligned,0.2,0.19899400710569026,8.386,7.986,,,0.0,1,pitch,1.0
g0200_d30_pitch_pos05_try00,g0200_d30_pitch_pos05_try00,tilt_only,straight,20.044924318790436,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.0,0.0,0.0358622781932354,0.018845777958631516,0.0,0.0,0.0,4.491666666666666,4.491666666666666,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.0358622781932354,0.018845777958631516,0.01453320775181055,0.0,0.0,0.005955792730674148,0.0033479305663301298,0.0,0.0,False,0,0.0,,,,,,,,,,True,509,4.241666666666666,0.017268696799874306,0.003950884100049734,0.008905434980988503,0.0,0.0,0.0075398957706056535,0.005461954802740365,0.0,0.0,False,0,0.0,,,,,,,,,,20.05651369690895,-3.3591449260711657,23.415658622980118,23.81635491885431,0.5839943774984935,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos05,0.5,g0200_d30_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,0.5,1,pitch,1.0
g0200_d30_pitch_pos05_try00,g0200_d30_pitch_pos05_try00,tilt_only,realign,20.044924318790436,False,terminal,terminal,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032198777035277655,0.0006088310096720685,2.6792287826538086e-05,5.0174654461443424e-05,0.0002386206938383002,0.024834304208406998,0.0,0.0,0.0,0.0,2.5416877633688273e-06,5.615875124931335e-07,1.6231206245720387e-07,8.987663022708148e-07,3.242894308641553e-06,9.089311060961336e-05,0.0006555780874091038,0.0011316813963889694,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos05,0.5,g0200_d30_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,0.5,1,pitch,1.0
g0200_d30_pitch_pos20_try00,g0200_d30_pitch_pos20_try00,tilt_only,straight,13.91783505678177,True,first_stall,first_stall,True,True,cleared,True,True,True,False,False,1.7130950689315796,0.032647840678691864,1.6716580390930176,0.08903475850820541,3.6876726150512695,0.0177806996362051,0.0066563182424728045,4.216666666666667,4.216666666666667,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,1.6716580390930176,0.08880486339330673,1.666388750076294,1.7130950689315796,1.62685227394104,0.7921428481737772,0.7871592144171397,0.4882591466108958,0.0007348048209375217,False,0,0.0,,,,,,,,,,True,476,3.966666666666667,1.5999284982681274,0.08903475850820541,1.5991451740264893,1.6803524494171143,1.6785897016525269,1.5466150244077046,1.5440139373143513,1.541027198235194,0.005921513421535281,False,0,0.0,,,,,,,,,,13.915130496025087,-3.2491371035575853,17.164267599582672,17.539015705796327,3.022455313612191,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos20,2.0,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0
g0200_d30_pitch_pos20_try00,g0200_d30_pitch_pos20_try00,tilt_only,realign,13.91783505678177,False,first_stall,first_stall,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014008964776560088,0.00552194473094223,4.863739013671875e-05,0.001148477109381929,0.0009304215668479085,0.06751139412760633,0.4245677099696678,0.0022848129464649817,0.05427193641662598,0.0005066867743153125,0.0074822138994932175,1.141335815191269e-06,1.1912197805941105e-07,7.66245648264885e-07,1.3276934623718262e-05,0.3576246500015259,0.005211245787415341,0.0014253653219668029,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos20,2.0,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0
g0200_d30_pitch_pos20_try00,g0200_d30_pitch_pos20_try00,tilt_only,straight,14.050596952438356,True,terminal,terminal,True,True,cleared,True,True,True,False,False,3.316541910171509,0.0393526665866375,3.332918643951416,0.10193745791912079,6.123256683349609,0.031018156732898206,0.02200131946392764,4.216666666666667,4.216666666666667,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,3.332918643951416,0.08550401777029037,3.3319170475006104,3.316541910171509,1.285686731338501,0.6266699880361557,0.6243856549263,0.374520942568779,0.002564107716436108,False,0,0.0,,,,,,,,,,True,476,3.966666666666667,2.5436744689941406,0.10193745791912079,2.539417266845703,2.554419755935669,2.549269199371338,2.4311798016230264,2.4276540080706277,2.4221907456715903,0.019437211747491537,False,0,0.0,,,,,,,,,,14.04695361852646,-3.178647160530089,17.22560077905655,17.636370377217222,4.620471031543007,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos20,2.0,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0
g0200_d30_pitch_pos20_try00,g0200_d30_pitch_pos20_try00,tilt_only,realign,14.050596952438356,True,terminal,terminal,True,True,cleared,True,True,True,False,False,3.316541910171509,0.0393526665866375,3.332918643951416,0.09685659408569336,6.123256683349609,0.031018156732898206,0.006152509132741883,6.2,6.2,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,3.332918643951416,0.08550401777029037,3.3319170475006104,3.316541910171509,1.285686731338501,0.6266699880361557,0.6243856549263,0.374520942568779,0.002564107716436108,True,240,2.0,1.0726374387741089,0.09685659408569336,1.070683479309082,1.27262282371521,1.266559362411499,0.7014252816637357,0.6986089472969373,0.4255855679512024,0.0035883508907486503,True,474,3.9499999999999997,0.24776987731456757,0.03277790546417236,0.14918720722198486,0.3151165843009949,0.0007734072860330343,0.044284153438638896,0.025140729664902512,7.357885351666482e-05,5.0525557130735406e-08,False,0,0.0,,,,,,,,,,13.987751305103304,-3.117403388023375,17.10515469312668,17.54638580277424,0.4429634949568988,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos20,2.0,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0
g0200_d50_pitch_pos05_try00,g0200_d50_pitch_pos05_try00,tilt_only,straight,20.03958225250244,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.0002172259846702218,9.165074743577861e-07,0.035479240119457245,0.019136343151330948,0.0,0.0,1.1857893866817903e-08,4.491666666666666,4.491666666666666,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.035479240119457245,0.019136343151330948,0.014120564796030521,0.0,0.0,0.005580737498045589,0.0030627244947633394,0.0,0.0,False,0,0.0,,,,,,,,,,True,509,4.241666666666666,0.015195699408650398,0.003665240714326501,0.008781008422374725,0.0002172259846702218,0.00021647200628649443,0.008926047982337574,0.005401300635033597,1.803933385720787e-05,1.1857893866817903e-08,False,0,0.0,,,,,,,,,,20.050981640815735,-3.357043862342833,23.40802550315857,23.812767016801242,0.5842318235909563,cleared,False,retreat,0.0027274370167080894,0.0027878511304219,5.459785461425781e-05,8.551764767616987e-05,4.9627439513766416e-05,0.0015673982081241477,0.0,0.0,0.0,0.0,2.09086574614048e-05,4.530884325504303e-07,6.440677680075169e-08,6.954724085517228e-07,1.430511474609375e-06,0.00013233433492132463,0.00039640113687246454,0.0026505331001582433,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos05,0.5,g0200_d50_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,0.5,1,pitch,1.0
g0200_d50_pitch_pos05_try00,g0200_d50_pitch_pos05_try00,tilt_only,realign,20.03958225250244,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.022381341084837914,0.0001375272695440799,0.035479240119457245,0.019136343151330948,0.017893897369503975,0.0,6.830530657383113e-08,6.483333333333333,6.483333333333333,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.035479240119457245,0.019136343151330948,0.014120564796030521,0.0,0.0,0.005580737498045589,0.0030627244947633394,0.0,0.0,True,240,2.0,0.017126072198152542,0.0038270556833595037,0.007754582446068525,0.022381341084837914,0.00398038886487484,0.008444342762231827,0.004725930572021753,0.0004682480201078458,5.8139975004737705e-08,True,508,4.233333333333333,0.016220945864915848,0.003885866142809391,0.007655832916498184,0.0003364329459145665,0.0003338949754834175,0.009417643770575523,0.004760181880556047,2.7824581290284794e-05,1.016533156909342e-08,False,0,0.0,,,,,,,,,,20.006583631038666,-3.2987207174301134,23.30530434846878,23.76083198078605,0.5876021714555097,cleared,False,retreat,0.0027274370167080894,0.0027878511304219,5.459785461425781e-05,8.551764767616987e-05,4.9627439513766416e-05,0.0015673982081241477,0.0,0.0,0.0,0.0,2.09086574614048e-05,4.530884325504303e-07,6.440677680075169e-08,6.954724085517228e-07,1.430511474609375e-06,0.00013233433492132463,0.00039640113687246454,0.0026505331001582433,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos05,0.5,g0200_d50_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,0.5,1,pitch,1.0
