trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,folder,status,sample_role,split_group_id,path_group_id,final_pitch_deg,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s,insertion_success,max_force,max_torque,max_normal_load,max_penetration,max_depth,stalled,force_budget_exceeded,torque_budget_exceeded,numerically_valid,outcome_trustworthy,grasp_retained,max_grasp_slip_mm,max_grasp_slip_deg,max_wrist_force_n,max_wrist_torque_nm,tilt_applicable,tilt_triggered,tilt_ramp_completed,max_actual_tilt_deg,max_command_tilt_deg,terminal_actual_tilt_deg,terminal_command_tilt_deg,tilt_trigger_time_s,tilt_trigger_actual_depth_mm,tilt_trigger_actual_tilt_deg,tilt_trigger_command_tilt_deg,tilt_completion_time_s,tilt_completion_actual_depth_mm,tilt_completion_actual_tilt_deg,tilt_completion_command_tilt_deg,continuation_straight_present,continuation_straight_origin,continuation_straight_safe_recovery,continuation_straight_numerically_valid,continuation_straight_grasp_retained,continuation_straight_cleared,continuation_straight_force_budget_exceeded,continuation_straight_torque_budget_exceeded,continuation_straight_max_force,continuation_straight_max_torque,continuation_straight_max_wrist_force_n,continuation_straight_max_wrist_torque_nm,continuation_straight_max_normal_load,continuation_straight_max_penetration,continuation_straight_recovery_work_j,continuation_straight_clear_time_s,continuation_straight_duration_s,continuation_straight_reason,continuation_straight_force_axis_frame,continuation_straight_wrist_axial_signal,continuation_straight_retreat_contact_resistance_definition,continuation_straight_moving_average_support_s,continuation_straight_stop_observed,continuation_straight_stop_sample_count,continuation_straight_stop_duration_s,continuation_straight_stop_peak_wrist_force_n,continuation_straight_stop_peak_wrist_torque_nm,continuation_straight_stop_peak_wrist_world_z_abs_n,continuation_straight_stop_peak_contact_force_n,continuation_straight_stop_peak_contact_downward_resistance_n,continuation_straight_stop_peak_wrist_force_mean100ms_n,continuation_straight_stop_peak_wrist_world_z_abs_mean100ms_n,continuation_straight_stop_peak_contact_downward_resistance_mean100ms_n,continuation_straight_stop_contact_resistive_work_j,continuation_straight_realign_observed,continuation_straight_realign_sample_count,continuation_straight_realign_duration_s,continuation_straight_realign_peak_wrist_force_n,continuation_straight_realign_peak_wrist_torque_nm,continuation_straight_realign_peak_wrist_world_z_abs_n,continuation_straight_realign_peak_contact_force_n,continuation_straight_realign_peak_contact_downward_resistance_n,continuation_straight_realign_peak_wrist_force_mean100ms_n,continuation_straight_realign_peak_wrist_world_z_abs_mean100ms_n,continuation_straight_realign_peak_contact_downward_resistance_mean100ms_n,continuation_straight_realign_contact_resistive_work_j,continuation_straight_retreat_observed,continuation_straight_retreat_sample_count,continuation_straight_retreat_duration_s,continuation_straight_retreat_peak_wrist_force_n,continuation_straight_retreat_peak_wrist_torque_nm,continuation_straight_retreat_peak_wrist_world_z_abs_n,continuation_straight_retreat_peak_contact_force_n,continuation_straight_retreat_peak_contact_downward_resistance_n,continuation_straight_retreat_peak_wrist_force_mean100ms_n,continuation_straight_retreat_peak_wrist_world_z_abs_mean100ms_n,continuation_straight_retreat_peak_contact_downward_resistance_mean100ms_n,continuation_straight_retreat_contact_resistive_work_j,continuation_straight_clear_hold_observed,continuation_straight_clear_hold_sample_count,continuation_straight_clear_hold_duration_s,continuation_straight_clear_hold_peak_wrist_force_n,continuation_straight_clear_hold_peak_wrist_torque_nm,continuation_straight_clear_hold_peak_wrist_world_z_abs_n,continuation_straight_clear_hold_peak_contact_force_n,continuation_straight_clear_hold_peak_contact_downward_resistance_n,continuation_straight_clear_hold_peak_wrist_force_mean100ms_n,continuation_straight_clear_hold_peak_wrist_world_z_abs_mean100ms_n,continuation_straight_clear_hold_peak_contact_downward_resistance_mean100ms_n,continuation_straight_clear_hold_contact_resistive_work_j,continuation_straight_retreat_start_depth_mm,continuation_straight_retreat_end_depth_mm,continuation_straight_retreat_actual_withdrawal_mm,continuation_straight_retreat_commanded_withdrawal_mm,continuation_straight_retreat_max_depth_tracking_error_mm,continuation_straight_termination_reason,continuation_straight_recovery_censored,continuation_straight_termination_phase
g0200_aligned_try00,0,0,centered,0.0,0.0,0.0,0.0,8.0,g0200_aligned_try00,complete,aligned_control,g0200_aligned,g0200_aligned,0.0,g0200_aligned,0.2,0.19899400710569026,8.386,7.986,,,0.0,1,pitch,1.0,True,0.0,0.0,0.0,0.0,20.10694295167923,False,False,False,True,True,True,0.02508083707652986,0.08846931922527276,0.022692296653985977,0.013689580373466015,False,False,False,0.06561060592844098,0.0,0.05595291190411357,0.0,,,,,,,,,True,original_reference_continuation_without_replay,True,True,True,True,False,False,0.0,0.0,0.03443681821227074,0.018398944288492203,0.0,0.0,0.0,4.483333333333333,4.483333333333333,cleared,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.03443681821227074,0.018398944288492203,0.014360780827701092,0.0,0.0,0.005738529105049868,0.0032982176053337753,0.0,0.0,False,0,0.0,,,,,,,,,,True,508,4.233333333333333,0.015502744354307652,0.0034698382951319218,0.00871496181935072,0.0,0.0,0.007333016100650032,0.00538693197692434,0.0,0.0,False,0,0.0,,,,,,,,,,20.060868561267853,-3.3192545175552355,23.38012307882309,23.764067309567622,0.5847299234755159,cleared,False,retreat
g0200_d30_pitch_pos05_try00,1,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d30_pitch_pos05_try00,complete,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos05,0.5,g0200_d30_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,0.5,1,pitch,1.0,True,0.644841194152832,0.0071974084712564945,0.5158438682556152,0.0030438106932706432,20.105396956205368,False,False,False,True,True,True,0.027320909794070758,0.08846931922527276,0.5758172273635864,0.046167805790901184,True,True,True,0.5661368183717438,0.5,0.5581307278899919,0.5,6.25,6.021352112293245,0.027976455118293345,0.0,7.24999999999968,11.468784511089327,0.34998588235689826,0.5,True,original_reference_continuation_without_replay,True,True,True,True,False,False,0.0,0.0,0.0358622781932354,0.018845777958631516,0.0,0.0,0.0,4.491666666666666,4.491666666666666,cleared,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.0358622781932354,0.018845777958631516,0.01453320775181055,0.0,0.0,0.005955792730674148,0.0033479305663301298,0.0,0.0,False,0,0.0,,,,,,,,,,True,509,4.241666666666666,0.017268696799874306,0.003950884100049734,0.008905434980988503,0.0,0.0,0.0075398957706056535,0.005461954802740365,0.0,0.0,False,0,0.0,,,,,,,,,,20.05651369690895,-3.3591449260711657,23.415658622980118,23.81635491885431,0.5839943774984935,cleared,False,retreat
g0200_d30_pitch_pos20_try00,2,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d30_pitch_pos20_try00,complete,gap_tilt_characterization,g0200_d30_pitch,g0200_d30_pitch_pos20,2.0,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0,False,4.295238494873047,0.04685219004750252,6.232330322265625,0.032158204703591764,14.050596952438356,True,False,False,True,True,True,0.07129497680580243,0.11869404022070311,4.193266868591309,0.09375132620334625,True,True,True,2.0363434152066224,2.0,2.0279646686339037,2.0,6.25,6.021352112293245,0.027976455118293345,0.0,7.24999999999968,11.051380634307863,1.3933909903431936,2.0,True,original_reference_continuation_without_replay,True,True,True,True,False,False,3.316541910171509,0.0393526665866375,3.332918643951416,0.10193745791912079,6.123256683349609,0.031018156732898206,0.02200131946392764,4.216666666666667,4.216666666666667,cleared,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,3.332918643951416,0.08550401777029037,3.3319170475006104,3.316541910171509,1.285686731338501,0.6266699880361557,0.6243856549263,0.374520942568779,0.002564107716436108,False,0,0.0,,,,,,,,,,True,476,3.966666666666667,2.5436744689941406,0.10193745791912079,2.539417266845703,2.554419755935669,2.549269199371338,2.4311798016230264,2.4276540080706277,2.4221907456715903,0.019437211747491537,False,0,0.0,,,,,,,,,,14.04695361852646,-3.178647160530089,17.22560077905655,17.636370377217222,4.620471031543007,cleared,False,retreat
g0200_d50_pitch_pos05_try00,3,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d50_pitch_pos05_try00,complete,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos05,0.5,g0200_d50_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,0.5,1,pitch,1.0,True,0.6941587924957275,0.009728716686367989,0.5553186535835266,0.0021496664430742385,20.108481496572495,False,False,False,True,True,True,0.02725354534049984,0.08846931922527276,0.6305791139602661,0.05714138597249985,True,True,True,0.5661368183717438,0.5,0.5574291121090637,0.5,6.975,10.002949833869936,0.027976455118293345,0.0,7.975000000006347,14.919148385524752,0.3549819843055889,0.5,True,original_reference_continuation_without_replay,True,True,True,True,False,False,0.0002662958577275276,1.1178369732078863e-06,0.03433617204427719,0.01880570314824581,0.0,0.0,1.4306532136743044e-08,4.483333333333333,4.483333333333333,cleared,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.03433617204427719,0.01880570314824581,0.013687627390027046,0.0,0.0,0.005684125111050283,0.002987636001004527,0.0,0.0,False,0,0.0,,,,,,,,,,True,508,4.233333333333333,0.014810742810368538,0.003484726417809725,0.009233091957867146,0.0002662958577275276,0.0002655361022334546,0.007521806051954627,0.00567748659523204,2.212800851945455e-05,1.4306532136743044e-08,False,0,0.0,,,,,,,,,,20.05798891186714,-3.315179049968718,23.37316796183586,23.760186682968964,0.5835176251890779,cleared,False,retreat
g0200_d50_pitch_pos20_try00,4,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d50_pitch_pos20_try00,complete,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos20,2.0,g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,1.0,False,3.6651253700256348,0.06447656452655792,9.47903060913086,0.04773909313371405,15.471556782722475,True,False,False,True,True,True,0.09844830492511392,0.17245846124184028,3.503033399581909,0.09319935739040375,True,True,True,1.9246794578078013,2.0,1.9180586751470907,2.0,6.975,10.002949833869936,0.027976455118293345,0.0,7.974999999992747,14.416249096393587,1.3855039542015795,2.0,True,original_reference_continuation_without_replay,False,True,False,False,False,False,2.0984723567962646,0.058735303580760956,2.187817096710205,0.07440132647752762,8.510663986206055,0.04666238237405196,0.0009422627672999321,,0.03333333333333333,grasp_retention_limit,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,5,0.03333333333333333,2.187817096710205,0.07440132647752762,2.183361530303955,2.0984723567962646,0.9262790679931641,,,,0.0009422627672999321,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,grasp_retention_limit,True,stop
g0200_d70_pitch_pos05_try00,5,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d70_pitch_pos05_try00,complete,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos05,0.5,g0200_d70_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,0.5,1,pitch,1.0,True,0.8291460871696472,0.013619104400277138,0.6633241176605225,0.004943867679685354,20.085500180721283,False,False,False,True,True,True,0.027297468477627262,0.08846931922527276,0.7449644207954407,0.07241807132959366,True,True,True,0.5286014235678185,0.5,0.5226451195254468,0.5,7.7749999999999995,14.026978611946108,0.03956468264845247,0.0,8.77499999999202,17.97625944018364,0.3727285197772224,0.5,True,original_reference_continuation_without_replay,True,True,True,True,False,False,0.18673740327358246,0.002091758418828249,0.13117186725139618,0.016928410157561302,0.1493905782699585,0.0,5.134515677696072e-06,4.483333333333333,4.483333333333333,cleared,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.01753377728164196,0.009944402612745762,0.008095486089587212,0.0,0.0,0.004127868325061475,0.002747282802981014,0.0,0.0,False,0,0.0,,,,,,,,,,True,508,4.233333333333333,0.13117186725139618,0.016928410157561302,0.08347877115011215,0.18673740327358246,0.11176607757806778,0.02131347676428656,0.013716948490279416,0.009386149001026448,5.134515677696072e-06,False,0,0.0,,,,,,,,,,20.04658207297325,-3.308339416980742,23.354921489953995,23.759170117914646,0.5870276365168046,cleared,False,retreat
g0200_d70_pitch_pos20_try00,6,0,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d70_pitch_pos20_try00,complete,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0,False,3.2714996337890625,0.09497164189815521,11.542791366577148,0.05964636511635035,17.490150034427643,True,False,False,False,False,False,0.14138261030893773,0.21670470682966056,2.609781503677368,0.1674260050058365,True,True,True,1.7594745472470472,2.0,1.7552428299292626,2.0,7.7749999999999995,14.026978611946108,0.03956468264845247,0.0,8.77499999999202,17.342129349708557,1.3823931667891733,2.0,True,original_reference_continuation_without_replay,,False,False,False,False,False,1.9090099334716797,0.0845780000090599,1.8490182161331177,0.05014139786362648,11.298796653747559,0.05907634840696119,0,,0.0,numerical_screen_failed,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.8490182161331177,0.05014139786362648,1.8375320434570312,1.9090099334716797,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,numerical_screen_failed,True,stop
g0200_d70_pitch_pos20_try01,6,1,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d70_pitch_pos20_try01,complete,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0,False,3.2714996337890625,0.09497164189815521,11.542791366577148,0.05964636511635035,17.490150034427643,True,False,False,False,False,False,0.14138261030893773,0.21670470682966056,2.609781503677368,0.1674260050058365,True,True,True,1.7594745472470472,2.0,1.7552428299292626,2.0,7.7749999999999995,14.026978611946108,0.03956468264845247,0.0,8.77499999999202,17.342129349708557,1.3823931667891733,2.0,True,original_reference_continuation_without_replay,,False,False,False,False,False,1.9090099334716797,0.0845780000090599,1.8490182161331177,0.05014139786362648,11.298796653747559,0.05907634840696119,0,,0.0,numerical_screen_failed,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.8490182161331177,0.05014139786362648,1.8375320434570312,1.9090099334716797,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,numerical_screen_failed,True,stop
g0200_d70_pitch_pos20_try02,6,2,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d70_pitch_pos20_try02,complete,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0,False,3.2714996337890625,0.09497164189815521,11.542791366577148,0.05964636511635035,17.490150034427643,True,False,False,False,False,False,0.14138261030893773,0.21670470682966056,2.609781503677368,0.1674260050058365,True,True,True,1.7594745472470472,2.0,1.7552428299292626,2.0,7.7749999999999995,14.026978611946108,0.03956468264845247,0.0,8.77499999999202,17.342129349708557,1.3823931667891733,2.0,True,original_reference_continuation_without_replay,,False,False,False,False,False,1.9090099334716797,0.0845780000090599,1.8490182161331177,0.05014139786362648,11.298796653747559,0.05907634840696119,0,,0.0,numerical_screen_failed,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.8490182161331177,0.05014139786362648,1.8375320434570312,1.9090099334716797,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,numerical_screen_failed,True,stop
g0200_d70_pitch_pos20_try03,6,3,tilt_only,0.0,0.0,0.0,0.0,8.0,g0200_d70_pitch_pos20_try03,complete,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0,False,3.2714996337890625,0.09497164189815521,11.542791366577148,0.05964636511635035,17.490150034427643,True,False,False,False,False,False,0.14138261030893773,0.21670470682966056,2.609781503677368,0.1674260050058365,True,True,True,1.7594745472470472,2.0,1.7552428299292626,2.0,7.7749999999999995,14.026978611946108,0.03956468264845247,0.0,8.77499999999202,17.342129349708557,1.3823931667891733,2.0,True,original_reference_continuation_without_replay,,False,False,False,False,False,1.9090099334716797,0.0845780000090599,1.8490182161331177,0.05014139786362648,11.298796653747559,0.05907634840696119,0,,0.0,numerical_screen_failed,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.8490182161331177,0.05014139786362648,1.8375320434570312,1.9090099334716797,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,numerical_screen_failed,True,stop
