case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_depth_mm,target_depth_mm,pair_static_friction,pair_dynamic_friction,peg_static_friction,peg_dynamic_friction,hole_static_friction,hole_dynamic_friction,friction_combine_mode,tilt_amplitude_deg,tilt_axis,tilt_sign,split_group_id,baseline_case_id,case_reference_state,baseline_reference_state,reference_comparison_eligible,completed_safe_withdrawal_comparison,tilt_terminal_depth_loss_mm,baseline_tilt_terminal_depth_loss_mm,difference_tilt_terminal_depth_loss_mm,tilt_max_depth_loss_mm,baseline_tilt_max_depth_loss_mm,difference_tilt_max_depth_loss_mm,straight_retreat_peak_wrist_force_n,baseline_straight_retreat_peak_wrist_force_n,difference_straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,baseline_straight_retreat_peak_wrist_force_mean100ms_n,difference_straight_retreat_peak_wrist_force_mean100ms_n,straight_retreat_peak_contact_normal_axial_resistance_n,baseline_straight_retreat_peak_contact_normal_axial_resistance_n,difference_straight_retreat_peak_contact_normal_axial_resistance_n,straight_retreat_peak_contact_friction_axial_resistance_n,baseline_straight_retreat_peak_contact_friction_axial_resistance_n,difference_straight_retreat_peak_contact_friction_axial_resistance_n
m_d06_fs050_fd050_a02,0.2,0.19899400710569026,25.0,6.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d06_fs050_fd050,m_d06_fs050_fd050_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.1254454255104065,0.010229647159576416,-0.1356750726699829,0.024124979972839355,0.04534423351287842,-0.021219253540039062,0.4652673006057739,0.03249111771583557,0.43277618288993835,0.1302806589131554,0.017902042871961992,0.11237861604119341,0.0,0.0,0.0,0.2840481996536255,0.0,0.2840481996536255
m_d06_fs075_fd075_a02,0.2,0.19899400710569026,25.0,6.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d06_fs075_fd075,m_d06_fs075_fd075_a00,valid_protocol_completed,valid_protocol_completed,True,True,0.03452599048614502,0.12702494859695435,-0.09249895811080933,0.12989342212677002,0.1516491174697876,-0.021755695343017578,0.543053925037384,0.07641420513391495,0.4666397199034691,0.15191539485628405,0.018310079506287973,0.1336053153499961,0.0,0.0,0.0,0.4401637315750122,7.108913268893957e-05,0.44009264244232327
m_d06_fs100_fd100_a02,0.2,0.19899400710569026,25.0,6.0,1.0,1.0,0.75,0.75,1.25,1.25,average,2.0,pitch,1,m_d06_fs100_fd100,m_d06_fs100_fd100_a00,valid_protocol_completed,valid_protocol_completed,True,True,0.045359134674072266,0.0005885958671569824,0.04477053880691528,0.1957342028617859,0.0006034970283508301,0.19513070583343506,0.5584460496902466,0.6972068548202515,-0.13876080513000488,0.15159486280754209,0.16022605177325508,-0.008631188965712994,0.0,0.0,0.0,0.49766385555267334,0.5430101156234741,-0.04534626007080078
m_d06_fs100_fd050_a02,0.2,0.19899400710569026,25.0,6.0,1.0,0.5,0.75,0.75,1.25,0.25,average,2.0,pitch,1,m_d06_fs100_fd050,m_d06_fs100_fd050_a00,valid_protocol_completed,valid_protocol_completed,True,True,0.05570799112319946,0.022582709789276123,0.03312528133392334,0.18946081399917603,0.023208558559417725,0.1662522554397583,0.6308520436286926,0.6374073624610901,-0.006555318832397461,0.162415717728436,0.10365565381168078,0.058760063916755215,0.0,0.0,0.0,0.5820289254188538,0.4353488087654114,0.14668011665344238
m_d12_fs050_fd050_a02,0.2,0.19899400710569026,25.0,12.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d12_fs050_fd050,m_d12_fs050_fd050_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.01280754804611206,0.08974224328994751,-0.10254979133605957,0.17815083265304565,0.22527575492858887,-0.04712492227554321,0.7201170921325684,0.3798487186431885,0.3402683734893799,0.159274011462306,0.045994951971806586,0.1132790594904994,0.0,0.0,0.0,0.4501152038574219,0.2514387369155884,0.1986764669418335
m_d12_fs075_fd075_a02,0.2,0.19899400710569026,25.0,12.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d12_fs075_fd075,m_d12_fs075_fd075_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.02281367778778076,0.005856156349182129,-0.02866983413696289,0.19015371799468994,0.006161630153656006,0.18399208784103394,0.6034521460533142,0.5781450271606445,0.025307118892669678,0.14882735706244907,0.14434469336022934,0.004482663702219725,0.0,0.0,0.0,0.4482225179672241,0.36715278029441833,0.08106973767280579
m_d12_fs100_fd100_a02,0.2,0.19899400710569026,25.0,12.0,1.0,1.0,0.75,0.75,1.25,1.25,average,2.0,pitch,1,m_d12_fs100_fd100,m_d12_fs100_fd100_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.07919967174530029,0.019118189811706543,-0.09831786155700684,0.1730695366859436,0.019118189811706543,0.15395134687423706,0.8372119069099426,0.6566100716590881,0.1806018352508545,0.19112787853615978,0.1652549598754073,0.025872918660752475,0.0,0.0,0.0,0.6819135546684265,0.5184421539306641,0.16347140073776245
m_d12_fs100_fd050_a02,0.2,0.19899400710569026,25.0,12.0,1.0,0.5,0.75,0.75,1.25,0.25,average,2.0,pitch,1,m_d12_fs100_fd050,m_d12_fs100_fd050_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.04932284355163574,0.001646578311920166,-0.05096942186355591,0.1958981156349182,0.0017508864402770996,0.1941472291946411,0.7783370614051819,0.6532878279685974,0.12504923343658447,0.13935382508983216,0.13310983323026448,0.006243991859567671,0.0,0.0,0.0,0.70759117603302,0.5455183982849121,0.1620727777481079
m_d18_fs050_fd050_a02,0.2,0.19899400710569026,25.0,18.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d18_fs050_fd050,m_d18_fs050_fd050_a00,grasp_failed,valid_protocol_completed,False,False,-0.20360201597213745,0.07554888725280762,,0.1629069447517395,0.23117661476135254,,,0.46421462297439575,,,0.0761692620581016,,,0.0,,,0.291449636220932,
m_d18_fs075_fd075_a02,0.2,0.19899400710569026,25.0,18.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d18_fs075_fd075,m_d18_fs075_fd075_a00,grasp_failed,valid_protocol_completed,False,False,-0.1846514642238617,0.08160248398780823,,0.16546621918678284,0.211469829082489,,,0.6744449734687805,,,0.09067519348658,,,0.0,,,0.5717825889587402,
