case_id,target_depth_mm,terminal_depth_mm,pair_static_friction,pair_dynamic_friction,tilt_amplitude_deg,terminal_actual_tilt_deg,reference_state,reference_reason,numerically_valid,max_normal_load_n,reference_peak_wrist_force_n,max_grasp_slip_mm,straight_numerically_valid,straight_retreat_observed,straight_reason,straight_safe_recovery,straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,straight_max_wrist_force_n,paired_state,paired_costs_complete,matched_realign_retreat_peak_wrist_force_n,matched_realign_max_wrist_force_n,matched_realign_realign_peak_wrist_force_n
m_d06_fs050_fd050_a00,6.0,5.905674397945406,0.5,0.5,0.0,0.019782341029446364,valid_protocol_completed,reference_complete,True,0.3725690543651581,0.3123258054256439,0.021520687369047664,True,True,cleared,True,0.03249111771583557,0.017902042871961992,0.03249111771583557,matched_results_known,True,0.31300100684165955,0.31300100684165955,0.07579274475574493
m_d06_fs075_fd075_a00,6.0,5.899922549724581,0.75,0.75,0.0,0.027976455118293345,valid_protocol_completed,reference_complete,True,0.37376558780670166,0.33877280354499817,0.022178073777467944,True,True,cleared,True,0.07641420513391495,0.018310079506287973,0.07641420513391495,matched_results_known,True,0.40922099351882935,0.40922099351882935,0.01162443682551384
m_d06_fs100_fd100_a00,6.0,6.084391474723818,1.0,1.0,0.0,0.1083523598284494,valid_protocol_completed,reference_complete,True,0.31472477316856384,0.33816277980804443,0.0211237547773635,True,True,cleared,True,0.6972068548202515,0.16022605177325508,0.6972068548202515,replay_endpoint_unmatched,False,,,
m_d06_fs100_fd050_a00,6.0,6.045499444007875,1.0,0.5,0.0,0.09487278508118449,valid_protocol_completed,reference_complete,True,0.3185308575630188,0.29804614186286926,0.021711332010454498,True,True,cleared,True,0.6374073624610901,0.10365565381168078,0.6374073624610901,replay_endpoint_unmatched,False,,,
m_d12_fs050_fd050_a00,12.0,11.969299614429476,0.5,0.5,0.0,0.019782341029446364,valid_protocol_completed,reference_complete,True,0.35133907198905945,0.2999829649925232,0.02221536124125123,True,True,cleared,True,0.3798487186431885,0.045994951971806586,0.3798487186431885,matched_results_known,True,0.44263648986816406,0.44263648986816406,0.07639418542385101
m_d12_fs075_fd075_a00,12.0,12.066611647605898,0.75,0.75,0.0,0.10653118153060223,valid_protocol_completed,reference_complete,True,0.35996881127357483,0.3239027261734009,0.02221536124125123,True,True,cleared,True,0.5781450271606445,0.14434469336022934,0.5781450271606445,replay_endpoint_unmatched,False,,,
m_d12_fs100_fd100_a00,12.0,12.049520015716555,1.0,1.0,0.0,0.10087055545943382,valid_protocol_completed,reference_complete,True,0.30866605043411255,0.3231165409088135,0.02221536124125123,True,True,cleared,True,0.6566100716590881,0.1652549598754073,0.6566100716590881,replay_endpoint_unmatched,False,,,
m_d12_fs100_fd050_a00,12.0,12.075410783290865,1.0,0.5,0.0,0.10087055545943382,valid_protocol_completed,reference_complete,True,0.4500601887702942,0.38252773880958557,0.02347946065128781,True,True,cleared,True,0.6532878279685974,0.13310983323026448,0.6532878279685974,replay_endpoint_unmatched,False,,,
m_d18_fs050_fd050_a00,18.0,17.973215878009796,0.5,0.5,0.0,0.019782341029446364,valid_protocol_completed,reference_complete,True,0.41683080792427063,0.3486541211605072,0.022396034182747826,True,True,cleared,True,0.46421462297439575,0.0761692620581016,0.46421462297439575,matched_results_known,True,0.43469834327697754,0.43469834327697754,0.07642701268196106
m_d18_fs075_fd075_a00,18.0,17.960680276155472,0.75,0.75,0.0,0.019782341029446364,valid_protocol_completed,reference_complete,True,0.37801697850227356,0.3491154909133911,0.02399673940089997,True,True,cleared,True,0.6744449734687805,0.09067519348658,0.6744449734687805,replay_endpoint_unmatched,False,,,
m_d18_fs100_fd100_a00,18.0,17.94820800423622,1.0,1.0,0.0,0.019782341029446364,valid_protocol_completed,reference_complete,True,0.3953914940357208,0.41461625695228577,0.02331748510187026,True,True,cleared,True,0.39565563201904297,0.08199494498937081,0.39565563201904297,matched_results_known,True,0.4724390208721161,0.4724390208721161,0.011637894436717033
m_d18_fs100_fd050_a00,18.0,18.086181581020355,1.0,0.5,0.0,0.10087055545943382,valid_protocol_completed,reference_complete,True,0.42583903670310974,0.36750322580337524,0.02365364707657136,True,True,cleared,True,0.8721237778663635,0.15484815067611635,0.8721237778663635,replay_endpoint_unmatched,False,,,
m_d06_fs050_fd050_a02,6.0,6.041349470615389,0.5,0.5,2.0,1.9942940847299673,valid_protocol_completed,reference_complete,True,1.7098875045776367,1.32539963722229,0.021520687369047664,True,True,cleared,True,0.4652673006057739,0.1302806589131554,0.4652673006057739,replay_endpoint_unmatched,False,,,
m_d06_fs075_fd075_a02,6.0,5.99242150783539,0.75,0.75,2.0,1.9953732776958777,valid_protocol_completed,reference_complete,True,1.4639559984207153,1.2502365112304688,0.022178073777467944,True,True,cleared,True,0.543053925037384,0.15191539485628405,0.543053925037384,matched_results_known,True,0.07825027406215668,0.711024284362793,0.711024284362793
m_d06_fs100_fd100_a02,6.0,6.039620935916902,1.0,1.0,2.0,1.9863292522514213,valid_protocol_completed,reference_complete,True,1.6409389972686768,1.798508644104004,0.0211237547773635,True,True,cleared,True,0.5584460496902466,0.15159486280754209,0.5584460496902466,replay_endpoint_unmatched,False,,,
m_d06_fs100_fd050_a02,6.0,6.012374162673952,1.0,0.5,2.0,1.9858365495120127,valid_protocol_completed,reference_complete,True,1.943820595741272,1.8624298572540283,0.021711332010454498,True,True,cleared,True,0.6308520436286926,0.162415717728436,0.6308520436286926,replay_endpoint_unmatched,False,,,
m_d12_fs050_fd050_a02,12.0,12.071849405765535,0.5,0.5,2.0,1.9818905198329064,valid_protocol_completed,reference_complete,True,3.0484771728515625,2.2889955043792725,0.02221536124125123,True,True,cleared,True,0.7201170921325684,0.159274011462306,0.9235904216766357,matched_results_known,True,0.5679383873939514,0.9235904216766357,0.8124499917030334
m_d12_fs075_fd075_a02,12.0,12.09903657436371,0.75,0.75,2.0,2.0085707121511986,valid_protocol_completed,reference_complete,True,2.5895495414733887,1.9522345066070557,0.02221536124125123,True,True,cleared,True,0.6034521460533142,0.14882735706244907,0.7273893356323242,replay_endpoint_unmatched,False,,,
m_d12_fs100_fd100_a02,12.0,12.147837877273561,1.0,1.0,2.0,1.9776397599291997,valid_protocol_completed,reference_complete,True,2.618609666824341,2.620083808898926,0.02221536124125123,True,True,cleared,True,0.8372119069099426,0.19112787853615978,0.8372119069099426,replay_endpoint_unmatched,False,,,
m_d12_fs100_fd050_a02,12.0,12.12638020515442,1.0,0.5,2.0,1.9695082407556967,valid_protocol_completed,reference_complete,True,2.7450101375579834,2.3985626697540283,0.02347946065128781,True,True,cleared,True,0.7783370614051819,0.13935382508983216,0.7783370614051819,replay_endpoint_unmatched,False,,,
m_d18_fs050_fd050_a02,18.0,18.25236678123474,0.5,0.5,2.0,1.50480206692691,grasp_failed,grasp_lost,True,19.486095428466797,6.230509281158447,0.1042257426888682,True,False,grasp_retention_limit,False,,,2.7291157245635986,reference_protocol_incomplete,False,,,
m_d18_fs075_fd075_a02,18.0,18.237793445587158,0.75,0.75,2.0,1.4938382989867482,grasp_failed,grasp_lost,True,17.628992080688477,6.6753034591674805,0.10270420898450539,True,False,grasp_retention_limit,False,,,3.6047585010528564,reference_protocol_incomplete,False,,,
m_d18_fs100_fd100_a02,18.0,18.160896003246307,1.0,1.0,2.0,1.5134900529966373,grasp_failed,grasp_lost,True,20.998424530029297,7.3067216873168945,0.10452766582602635,True,False,grasp_retention_limit,False,,,5.2136149406433105,reference_protocol_incomplete,False,,,
m_d18_fs100_fd050_a02,18.0,18.229012936353683,1.0,0.5,2.0,1.5109018537030816,grasp_failed,grasp_lost,True,16.107515335083008,5.65502405166626,0.10204235150013119,True,False,grasp_retention_limit,False,,,5.2517290115356445,reference_protocol_incomplete,False,,,
