case_id,trajectory_id,folder,target_depth_mm,tilt_amplitude_deg,pair_static_friction,pair_dynamic_friction,reference_complete,reference_numerically_valid,reference_grasp_retained,reference_termination_reason,policy,reason,replay_matched,safe_recovery,profile_available,stop_executed,stop_step_count,stop_observed_duration_s,full_stop_observed,retreat_executed,recovery_start_normal_load_n,recovery_start_wrist_force_n,recovery_start_depth_mm,recovery_start_tilt_deg,recovery_start_tip_x_mm,recovery_start_tip_y_mm,recovery_start_grasp_slip_mm,recovery_start_upper_rim_band_normal_load_n,recovery_start_inner_straight_wall_normal_load_n,recovery_start_wall_rim_centroid_axial_span_mm,recovery_start_wall_rim_both_sides_loaded,stop_end_normal_load_n,stop_end_wrist_force_n,stop_end_depth_mm,stop_end_tilt_deg,stop_end_tip_x_mm,stop_end_tip_y_mm,stop_end_grasp_slip_mm,stop_end_upper_rim_band_normal_load_n,stop_end_inner_straight_wall_normal_load_n,stop_end_wall_rim_centroid_axial_span_mm,stop_end_wall_rim_both_sides_loaded,retreat_first_normal_load_n,retreat_first_wrist_force_n,retreat_first_depth_mm,retreat_first_tilt_deg,retreat_first_tip_x_mm,retreat_first_tip_y_mm,retreat_first_grasp_slip_mm,retreat_first_upper_rim_band_normal_load_n,retreat_first_inner_straight_wall_normal_load_n,retreat_first_wall_rim_centroid_axial_span_mm,retreat_first_wall_rim_both_sides_loaded,retreat_first_loaded_at_0p01n_normal_load_n,retreat_first_loaded_at_0p01n_wrist_force_n,retreat_first_loaded_at_0p01n_depth_mm,retreat_first_loaded_at_0p01n_tilt_deg,retreat_first_loaded_at_0p01n_tip_x_mm,retreat_first_loaded_at_0p01n_tip_y_mm,retreat_first_loaded_at_0p01n_grasp_slip_mm,retreat_first_loaded_at_0p01n_upper_rim_band_normal_load_n,retreat_first_loaded_at_0p01n_inner_straight_wall_normal_load_n,retreat_first_loaded_at_0p01n_wall_rim_centroid_axial_span_mm,retreat_first_loaded_at_0p01n_wall_rim_both_sides_loaded,before_stop_last100ms_mean_normal_load_n,before_stop_last100ms_mean_wrist_force_n,before_stop_last100ms_loaded_sample_fraction_at_0p01n,stop_last100ms_mean_normal_load_n,stop_last100ms_mean_wrist_force_n,stop_last100ms_loaded_sample_fraction_at_0p01n,retreat_first100ms_mean_normal_load_n,retreat_first100ms_mean_wrist_force_n,retreat_first100ms_loaded_sample_fraction_at_0p01n,stop_endpoint_change_delta_normal_load_n,stop_endpoint_change_delta_wrist_force_n,stop_endpoint_change_fractional_change_normal_load_n,stop_endpoint_change_fractional_change_wrist_force_n,stop_endpoint_change_delta_depth_mm,stop_endpoint_change_delta_tilt_deg,stop_endpoint_change_tip_lateral_motion_mm,stop_tail_mean_change_delta_normal_load_n,stop_tail_mean_change_delta_wrist_force_n,stop_tail_mean_change_fractional_change_normal_load_n,stop_tail_mean_change_fractional_change_wrist_force_n,stop_tail_mean_change_delta_depth_mm,stop_tail_mean_change_delta_tilt_deg,stop_tail_mean_change_tip_lateral_motion_mm
m_d12_fs075_fd075_a02,m_d12_fs075_fd075_a02_try00,m_d12_fs075_fd075_a02_try00,12.0,2.0,0.75,0.75,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.1284419298171997,0.16330252587795258,12.09903657436371,2.0085707121511986,-0.1920461654663086,-0.006564856448676437,0.003902037860825658,0.12844098452615071,0,,false,0.0,0.007049249019473791,12.091086804866793,2.009155253565442,-0.21338462829589844,0.010707119145081379,0.003234941459595575,0,0,,false,0.0,0.0027727207634598017,12.091124057769777,2.009155253565442,-0.21338462829589844,0.010663578905223403,0.003188545179000357,0,0,,false,0.057644665241241455,0.04581403359770775,12.101972103118898,2.0105185228842783,-0.21785497665405273,0.011237318176426925,0.0036299118164606625,0,0.05764466625987552,,false,0.1938472225641211,0.20594825164880604,0.75,0.0923653917076687,0.09169997948144253,0.3333333333333333,0.0,0.0024735913708961257,0.0,-0.1284419298171997,-0.15625327685847878,-1.0,-0.9568331905365494,-0.007949769496917725,0.0005845414142431338,0.027452707277082038,-0.10148183085645239,-0.11424827216736351,-0.5235144951477655,-0.5547426173939353,-0.007778095702331456,-0.00015815310395517201,0.02093649910934569
m_d12_fs075_fd075_a02,m_d12_fs075_fd075_a02_try00,m_d12_fs075_fd075_a02_try00,12.0,2.0,0.75,0.75,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd100_a02,m_d18_fs100_fd100_a02_try00,m_d18_fs100_fd100_a02_try00,18.0,2.0,1.0,1.0,false,true,false,grasp_lost,straight,grasp_retention_limit,,false,true,false,0,0.0,false,false,9.90617847442627,5.2136149406433105,18.160896003246307,1.5134900529966373,-0.22649765014648438,-0.0014175435580909834,0.10452766582602635,5.781419799197465,4.124758534101375,16.55656825803791,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58895448843638,3.235422487060229,1.0,,,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd100_a02,m_d18_fs100_fd100_a02_try00,m_d18_fs100_fd100_a02_try00,18.0,2.0,1.0,1.0,false,true,false,grasp_lost,realign,reference_not_eligible,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd050_a02,m_d18_fs100_fd050_a02_try00,m_d18_fs100_fd050_a02_try00,18.0,2.0,1.0,0.5,false,true,false,grasp_lost,straight,grasp_retention_limit,,false,true,false,0,0.0,false,false,15.211862564086914,5.2517290115356445,18.229012936353683,1.5109018537030816,-0.23490190505981445,0.0035691066386789316,0.10204235150013119,8.446432217046095,6.765430249273777,16.620264797523024,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.892706712086996,2.8180152972539267,1.0,,,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd050_a02,m_d18_fs100_fd050_a02_try00,m_d18_fs100_fd050_a02_try00,18.0,2.0,1.0,0.5,false,true,false,grasp_lost,realign,reference_not_eligible,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d06_fs050_fd050_a02,m_d06_fs050_fd050_a02_try00,m_d06_fs050_fd050_a02_try00,6.0,2.0,0.5,0.5,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.0,0.0009718852816149592,6.041349470615389,1.9942940847299673,0.007331371762120398,0.026721865651779808,0.0023328311726800166,0,0,,false,0.0,0.0018013478256762028,6.0424447059631365,1.9943922173024935,0.006377697900461499,0.028333957743598148,0.00255580926022958,0,0,,false,0.0,0.002400958212092519,6.0424447059631365,1.9943922173024935,0.006377697900461499,0.028180284061818384,0.0024133084934874205,0,0,,false,0.37203457951545715,0.28897517919540405,6.00496828556061,1.9940978051030087,0.018358232409809716,0.04976101263309829,0.002975117013193085,0.372034561129567,0,,false,0.0,0.0018111893004970625,0.0,0.0,0.001112522005617696,0.0,0.0,0.0012180992095333447,0.0,0.0,0.0008294625440612435,,,0.0010952353477478027,9.813257252622165e-05,0.0018730549236246727,0.0,-0.0006986672948793664,,,0.0007627531886100769,0.0001390255694584397,0.0022514008361233014
m_d06_fs050_fd050_a02,m_d06_fs050_fd050_a02_try00,m_d06_fs050_fd050_a02_try00,6.0,2.0,0.5,0.5,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d06_fs075_fd075_a02,m_d06_fs075_fd075_a02_try00,m_d06_fs075_fd075_a02_try00,6.0,2.0,0.75,0.75,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.0,0.0006495356210507452,5.99242150783539,1.9953732776958777,0.007927417755126953,0.008595309736847412,0.0023768343453411944,0,0,,false,0.0,0.00012856954708695412,5.992376804351808,1.995569431920961,0.007688999176025391,0.008409434485656675,0.002721974851738196,0,0,,false,0.0,9.21553946682252e-05,5.992376804351808,1.995569431920961,0.007688999176025391,0.008385956789425109,0.0027003602554032113,0,0,,false,0.2632266879081726,0.23571397364139557,5.9415042400360125,1.993705187901507,0.02568960189819336,0.026130299374926835,0.004760060619446449,0.26322667724593884,0,,false,0.0,0.0013031712830221902,0.0,0.0,0.0010112011035137887,0.0,0.0,0.001895185803732602,0.0,0.0,-0.0005209660739637911,,,-4.470348358154297e-05,0.00019615422508323377,0.00030231279805199705,0.0,-0.00029197017950840154,,,0.00015273690223693848,5.721064527142161e-05,0.0003612088965803714
m_d06_fs075_fd075_a02,m_d06_fs075_fd075_a02_try00,m_d06_fs075_fd075_a02_try00,6.0,2.0,0.75,0.75,true,true,true,completed,realign,cleared,true,true,true,true,60,0.25,true,true,0.0,0.0006495356210507452,5.99242150783539,1.9953732776958777,0.007927417755126953,0.008595309736847412,0.0023768343453411944,0,0,,false,0.0,0.00012856954708695412,5.992376804351808,1.995569431920961,0.007688999176025391,0.008409434485656675,0.002721974851738196,0,0,,false,0.0,0.021318981423974037,5.828769505023958,0.24228338651132322,-0.020265581042622216,-0.04076936238561757,0.005871421308256686,0,0,,false,,,,,,,,,,,,0.0,0.0013031712830221902,0.0,0.0,0.0010112011035137887,0.0,0.0,0.007294724103606616,0.0,0.0,-0.0005209660739637911,,,-4.470348358154297e-05,0.00019615422508323377,0.00030231279805199705,0.0,-0.00029197017950840154,,,0.00015273690223693848,5.721064527142161e-05,0.0003612088965803714
