case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_depth_mm,target_depth_mm,pair_static_friction,pair_dynamic_friction,peg_static_friction,peg_dynamic_friction,hole_static_friction,hole_dynamic_friction,friction_combine_mode,tilt_amplitude_deg,tilt_axis,tilt_sign,split_group_id,baseline_case_id,case_reference_state,baseline_reference_state,reference_comparison_eligible,completed_safe_withdrawal_comparison,tilt_terminal_depth_loss_mm,baseline_tilt_terminal_depth_loss_mm,difference_tilt_terminal_depth_loss_mm,tilt_max_depth_loss_mm,baseline_tilt_max_depth_loss_mm,difference_tilt_max_depth_loss_mm,straight_retreat_peak_wrist_force_n,baseline_straight_retreat_peak_wrist_force_n,difference_straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,baseline_straight_retreat_peak_wrist_force_mean100ms_n,difference_straight_retreat_peak_wrist_force_mean100ms_n,straight_retreat_peak_contact_normal_axial_resistance_n,baseline_straight_retreat_peak_contact_normal_axial_resistance_n,difference_straight_retreat_peak_contact_normal_axial_resistance_n,straight_retreat_peak_contact_friction_axial_resistance_n,baseline_straight_retreat_peak_contact_friction_axial_resistance_n,difference_straight_retreat_peak_contact_friction_axial_resistance_n
m_d06_fs050_fd050_a02,0.2,,25.0,6.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d06_fs050_fd050,m_d06_fs050_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d06_fs075_fd075_a02,0.2,,25.0,6.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d06_fs075_fd075,m_d06_fs075_fd075_a00,not_started,valid_protocol_completed,False,False,,0.12702494859695435,,,0.1516491174697876,,,0.7612676024436951,,,0.1560112995794043,,,0.0,,,0.6102372407913208,
m_d06_fs100_fd100_a02,0.2,,25.0,6.0,1.0,1.0,0.75,0.75,1.25,1.25,average,2.0,pitch,1,m_d06_fs100_fd100,m_d06_fs100_fd100_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d06_fs100_fd050_a02,0.2,,25.0,6.0,1.0,0.5,0.75,0.75,1.25,0.25,average,2.0,pitch,1,m_d06_fs100_fd050,m_d06_fs100_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d12_fs050_fd050_a02,0.2,,25.0,12.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d12_fs050_fd050,m_d12_fs050_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d12_fs075_fd075_a02,0.2,,25.0,12.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d12_fs075_fd075,m_d12_fs075_fd075_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d12_fs100_fd100_a02,0.2,,25.0,12.0,1.0,1.0,0.75,0.75,1.25,1.25,average,2.0,pitch,1,m_d12_fs100_fd100,m_d12_fs100_fd100_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d12_fs100_fd050_a02,0.2,,25.0,12.0,1.0,0.5,0.75,0.75,1.25,0.25,average,2.0,pitch,1,m_d12_fs100_fd050,m_d12_fs100_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d18_fs050_fd050_a02,0.2,,25.0,18.0,0.5,0.5,0.75,0.75,0.25,0.25,average,2.0,pitch,1,m_d18_fs050_fd050,m_d18_fs050_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d18_fs075_fd075_a02,0.2,,25.0,18.0,0.75,0.75,0.75,0.75,0.75,0.75,average,2.0,pitch,1,m_d18_fs075_fd075,m_d18_fs075_fd075_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd100_a02,0.2,,25.0,18.0,1.0,1.0,0.75,0.75,1.25,1.25,average,2.0,pitch,1,m_d18_fs100_fd100,m_d18_fs100_fd100_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
m_d18_fs100_fd050_a02,0.2,,25.0,18.0,1.0,0.5,0.75,0.75,1.25,0.25,average,2.0,pitch,1,m_d18_fs100_fd050,m_d18_fs100_fd050_a00,not_started,not_started,False,False,,,,,,,,,,,,,,,,,,
