trajectory_id,folder,family,policy,depth_mm,replay_matched,checkpoint_kind,label_eligible,safe_recovery,reason,numerically_valid,grasp_retained,cleared,force_budget_exceeded,torque_budget_exceeded,max_force,max_torque,max_wrist_force_n,max_wrist_torque_nm,max_normal_load,max_penetration,recovery_work_j,clear_time_s,duration_s,replay_error_position_mm,replay_error_orientation_deg,replay_error_joint_rad,replay_error_joint_velocity_rad_s,replay_error_linear_velocity_m_s,replay_error_angular_velocity_rad_s,replay_error_force_n,replay_error_torque_nm,replay_error_normal_load_n,replay_error_min_separation_mm,replay_error_wrist_torque_nm,replay_error_finger_position,replay_error_finger_velocity,replay_error_grasp_position,replay_error_hand_pose,replay_error_wrist_raw_child,replay_error_grasp_quat_angle_deg,replay_error_hand_pose_angle_deg,sample_role,split_group_id,path_group_id,severity_deg,ramp_onset_mm,ramp_full_depth_mm,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg
b000_try00,b000_try00,tilt_only,straight,5.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,0.0,0.0,0.02762346714735031,0.005236217752099037,0.0,0.0,0.0,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,realign,5.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,0.0,0.0,0.02762346714735031,0.0062720454297959805,0.0,0.0,0.0,5.375,5.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,straight,10.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,1.3380414247512817,0.013623525388538837,1.1927398443222046,0.11434292048215866,1.0704425573349,0.005335055902833119,8.369542588586576e-05,3.9166666666666665,3.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,realign,10.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,1.3380414247512817,0.013623525388538837,1.1927398443222046,0.11434292048215866,1.0704425573349,0.005335055902833119,8.369370216680198e-05,5.916666666666667,5.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,straight,15.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,1.6349868774414062,0.02247942052781582,1.4707609415054321,0.15553709864616394,1.307989478111267,0.0038261864574451465,0.00012957917611476633,4.283333333333333,4.283333333333333,2.2630047169514e-05,6.046742979648907e-05,0.0,2.644956111907959e-07,4.404870277715779e-07,6.082245178015164e-05,2.7727809481966596e-05,3.862207349177334e-07,1.9550323486328125e-05,0.0,1.0081566870212555e-06,1.0244548320770264e-08,2.73939804174006e-09,2.2630047169514e-08,0.0,1.5616416931152344e-05,6.053971605038909e-05,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,realign,15.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,1.6347229480743408,0.02247576415538788,1.4702624082565308,0.15561743080615997,1.3077783584594727,0.0038261864574451465,0.00010312175115346399,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,straight,19.801130145788193,True,terminal,True,True,cleared,True,True,True,False,False,1.6761504411697388,0.03196636587381363,1.3857944011688232,0.12948422133922577,1.557032585144043,0.025341860236949287,2.246509865064435e-05,4.508333333333333,4.508333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b000_try00,b000_try00,tilt_only,realign,19.801130145788193,False,terminal,False,,replay_mismatch,,,,,,,,,,,,,,,0.01650274355336829,0.012287751170921821,8.130073547363281e-05,0.003872400615364313,0.0018608015606807707,0.194109819716756,0.3477156067161735,0.006464337803305708,0.30506113171577454,0.0008642246029921807,0.03523153974674642,1.54753215610981e-05,5.318725015968084e-07,4.384666681289673e-06,1.134723424911499e-05,0.28323657251894474,0.009985725912141318,0.0028159349763973124,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,3.0,5.0,20.0,0.0,0.0,0.0,3
b001_try00,b001_try00,x_offset,straight,5.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,0.0,0.0,0.02762346714735031,0.005236217752099037,0.0,0.0,0.0,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_drift,b_d5_x_pitch_+1_drift,3.0,5.0,20.0,0.5,0.0,0.0,0.0
b001_try00,b001_try00,x_offset,realign,5.0,True,fixed_depth,True,True,cleared,True,True,True,False,False,0.0,0.0,0.02762346714735031,0.0062720454297959805,0.0,0.0,0.0,5.375,5.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boundary_characterization,b_d5_x_pitch_+1_drift,b_d5_x_pitch_+1_drift,3.0,5.0,20.0,0.5,0.0,0.0,0.0
