trajectory_id,folder,family,slot,parent_numerically_valid,parent_complete,checkpoint_depth_mm,reached,reference_time_s,prefix_numerically_valid,Y_R_tested,label_reason,depth_mm,force_n,torque_nm,normal_load_n,tilt_deg,tip_x_mm,tip_y_mm,prefix_max_force_n,prefix_max_torque_nm,prefix_max_normal_load_n,prefix_max_penetration_mm,fx,fy,fz,taux,tauy,tauz,vx,vy,vz,omegax,omegay,omegaz,qw,qx,qy,qz,joint1_rad,joint_velocity1_rad_s,joint2_rad,joint_velocity2_rad_s,joint3_rad,joint_velocity3_rad_s,joint4_rad,joint_velocity4_rad_s,joint5_rad,joint_velocity5_rad_s,joint6_rad,joint_velocity6_rad_s,joint7_rad,joint_velocity7_rad_s
slot000_try00,slot000_try00,centered,0,True,True,10.0,True,6.974999999999696,True,1,safe_policy_witness,10.00880226492882,0.0,0.0,0.0,0.027976455118293345,-0.06216764450073242,0.0038129855965962633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015202803770080209,0.0003150349948555231,-0.0016616052016615868,0.01947171613574028,0.10226915776729584,0.09008274972438812,-5.219615104579134e-06,0.0002452390326652676,-3.101470792898908e-05,0.9999998807907104,-0.48121780157089233,0.0013634545030072331,0.5361219048500061,0.011685175821185112,0.4894348382949829,-0.0024847721215337515,-2.017953634262085,0.002733237110078335,-0.3921038806438446,-0.010596247389912605,2.462200880050659,0.008305859751999378,1.0449581146240234,0.006864994298666716
slot001_try00,slot001_try00,x_offset,1,True,True,10.0,True,6.974999999999625,True,1,safe_policy_witness,10.001247376203539,0.0,0.0,0.0,0.019782341029446364,0.24640560150146484,0.022820584490546025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013576869387179613,1.946788324858062e-05,-0.0017750861588865519,0.013449415564537048,0.09062249958515167,0.08266384899616241,-0.00010168963490286842,0.0002065543521894142,-3.993744030594826e-05,1.0,-0.4810432195663452,0.0017529766773805022,0.5368433594703674,0.011685971170663834,0.48945653438568115,-0.003208407899364829,-2.016784429550171,0.0027359232772141695,-0.3923463523387909,-0.010192213580012321,2.4617297649383545,0.008336640894412994,1.0448567867279053,0.0068627516739070415
slot007_try00,slot007_try00,x_offset,7,True,True,10.0,True,6.975000000005551,True,1,safe_policy_witness,10.002208501100542,0.0,0.0,0.0,0.027976455118293345,-0.37229061126708984,0.01923269337567035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007184907444752753,3.5092016332782805e-05,-0.001784974941983819,0.013380013406276703,0.05369839817285538,0.05578645318746567,-8.696893928572536e-05,0.00021280920191202313,-4.508274651016109e-05,0.9999999403953552,-0.48134952783584595,0.0017247558571398258,0.5352931618690491,0.011683700606226921,0.4893849194049835,-0.003149827476590872,-2.019289016723633,0.002731021959334612,-0.39180582761764526,-0.010253227315843105,2.4629149436950684,0.008273517712950706,1.0446979999542236,0.006841105874627829
slot002_try00,slot002_try00,y_offset,2,True,True,10.0,True,6.9999999999936335,True,1,safe_policy_witness,10.015694051980974,0.0879877582192421,0.0002759874623734504,0.0703902542591095,0.027976455118293345,-0.035703182220458984,0.5036500515416265,4.208110809326172,0.016996150836348534,3.3664886951446533,0.004099360921827611,0.007978519424796104,-0.06996932625770569,0.05274924635887146,0.00027353523182682693,3.554260911187157e-05,-9.180207598546986e-06,-0.0003490047820378095,0.00021490569633897394,-0.002107602311298251,0.007445974741131067,0.03328562155365944,0.06616006791591644,-8.417417848249897e-05,0.000264172675088048,1.8452094082022086e-05,0.9999999403953552,-0.4808224141597748,0.001293248264119029,0.5363319516181946,0.011673043482005596,0.489914208650589,-0.0023002231027930975,-2.017850875854492,0.0025124775711447,-0.3926331698894501,-0.010217094793915749,2.4621198177337646,0.008270267397165298,1.046038031578064,0.0070359790697693825
slot008_try00,slot008_try00,y_offset,8,True,True,10.0,True,7.008333333326959,True,1,safe_policy_witness,10.004287213087084,0.011164771392941475,3.168186594848521e-05,0.008931891992688179,0.027976455118293345,-0.01239776611328125,-0.5061141564510763,4.428832054138184,0.017299102619290352,3.543069362640381,0.004820331014343537,-2.3006985429674387e-05,0.008938713930547237,0.006689616944640875,-3.164064764860086e-05,3.34979745275632e-07,1.5804387203388615e-06,0.003980389796197414,0.00017485881107859313,-0.0019815668929368258,0.016368655487895012,-0.23248691856861115,-0.16160346567630768,-0.00010005383956013247,0.00021351635223254561,-2.3205153411254287e-05,0.9999998807907104,-0.48156994581222534,0.0008166638435795903,0.5360395908355713,0.011363495141267776,0.48892277479171753,-0.0018900628201663494,-2.0179216861724854,0.002413231646642089,-0.39177465438842773,-0.01122117880731821,2.4624078273773193,0.006619722582399845,1.0437695980072021,0.007764202076941729
slot003_try00,slot003_try00,diagonal_offset,3,True,True,10.0,True,6.974999999993656,True,1,safe_policy_witness,10.002059489488603,0.0,0.0,0.0,0.027976455118293345,0.21409988403320312,0.2886588918045163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011766013922169805,8.465557039016858e-05,-0.001743927365168929,0.013297049328684807,0.0806380957365036,0.07644801586866379,-6.452145316870883e-05,0.000219659908907488,-4.7447363613173366e-05,0.9999999403953552,-0.4808975160121918,0.0016596593195572495,0.5368530750274658,0.011684953235089779,0.4897461235523224,-0.002998454961925745,-2.0168797969818115,0.002734231064096093,-0.3925372362136841,-0.010372926481068134,2.4617056846618652,0.008297337219119072,1.0455046892166138,0.006862469017505646
slot015_try00,slot015_try00,diagonal_offset,15,True,True,10.0,True,6.974999999993656,True,1,safe_policy_witness,10.001999884843828,0.0,0.0,0.0,0.027976455118293345,-0.22846460342407227,-0.15459991118405014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011724712094292045,7.257051765918732e-05,-0.0017460337840020657,0.01240049209445715,0.07981307804584503,0.07652419805526733,-7.370523235294968e-05,0.0002165065670851618,-5.056191730545834e-05,0.9999999403953552,-0.48145565390586853,0.0017094247741624713,0.5356228947639465,0.011679527349770069,0.48928365111351013,-0.003073127241805196,-2.018706798553467,0.002723678946495056,-0.3917977213859558,-0.01034311018884182,2.462650775909424,0.008278422988951206,1.0443997383117676,0.006854995619505644
slot004_try00,slot004_try00,tilt_only,4,True,True,10.0,True,6.974999999993656,True,1,safe_policy_witness,10.007766634225847,0.0,0.0,0.0,1.8631963643467295,-0.05620718002319336,0.009226321708410978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011331208515912294,7.661182462470606e-05,-0.0016998713836073875,0.016430610790848732,0.07547558844089508,0.0747121125459671,-1.7106982340919785e-05,0.00018998922314494848,-0.016257358714938164,0.999867856502533,-0.484133780002594,0.0015349979512393475,0.5342475175857544,0.011683497577905655,0.48357272148132324,-0.0027086567133665085,-2.021308422088623,0.002731140237301588,-0.3374258875846863,-0.00997187104076147,2.473419189453125,0.008295516483485699,0.994989812374115,0.006209580227732658
slot010_try00,slot010_try00,tilt_only,10,True,True,10.0,True,6.983333333326982,True,1,safe_policy_witness,10.031146556138994,0.0,0.0,0.0,2.4919862331050386,0.02288818359375,0.006145784936961718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026879324577748775,0.00012221767974551767,-0.00233102822676301,0.009148611687123775,-0.16120824217796326,-0.08116915076971054,-0.0001326426863670349,0.021744726225733757,1.5008399714133702e-05,0.999763548374176,-0.477670818567276,0.0011269764509052038,0.5567430257797241,0.011592232622206211,0.4952097535133362,-0.002433829940855503,-1.974870204925537,0.0018933143001049757,-0.3811919391155243,-0.009178112260997295,2.3940632343292236,0.008096454665064812,1.0345972776412964,0.006185619160532951
slot016_try00,slot016_try00,tilt_only,16,True,True,10.0,True,6.974999999993656,True,1,safe_policy_witness,10.002826899290087,0.0,0.0,0.0,1.9997820958910721,-0.060498714447021484,0.009688956197351217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006362860440276563,0.00024662792566232383,-0.0017745012883096933,0.012995699420571327,0.05168277025222778,0.05212390050292015,7.774943696858827e-06,0.00025976914912462234,0.017448866739869118,0.9998476505279541,-0.47784584760665894,0.0016626305878162384,0.5387591123580933,0.011684708297252655,0.49611300230026245,-0.0030290167778730392,-2.0135083198547363,0.002731673652306199,-0.4494914710521698,-0.010677575133740902,2.447641134262085,0.008215663954615593,1.09736168384552,0.006864794064313173
slot022_try00,slot022_try00,tilt_only,22,True,True,10.0,True,6.974999999993656,True,1,safe_policy_witness,10.004458576440813,0.0,0.0,0.0,1.0073596110979315,-0.0654458999633789,0.01910636456159409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001109345001168549,0.00010070802818518132,-0.0016328443307429552,0.011090680956840515,0.07779014855623245,0.06594614684581757,-1.249642991751898e-06,-0.008790071122348309,-4.379672827781178e-05,0.9999613761901855,-0.48236051201820374,0.0011435671476647258,0.5281657576560974,0.011681603267788887,0.4867020845413208,-0.0025076339952647686,-2.03533935546875,0.0027261944487690926,-0.39775440096855164,-0.011238076724112034,2.4908065795898438,0.008282724767923355,1.0501006841659546,0.007203339133411646
